fold,L_id,split
1,L662,train
1,L665,train
1,L672,train
1,L674,train
1,L675,train
1,L676,train
1,L680,train
1,L681,train
1,L682,train
1,L686,train
1,L688,train
1,L689,train
1,L690,train
1,L696,train
1,L697,train
1,L698,train
1,L700,train
1,L702,train
1,L703,train
1,L705,train
1,L706,train
1,L707,train
1,L708,train
1,L710,train
1,L711,train
1,L712,train
1,L713,train
1,L716,train
1,L717,train
1,L718,train
1,L719,train
1,L720,train
1,L721,train
1,L722,train
1,L723,train
1,L724,train
1,L725,train
1,L726,train
1,L727,train
1,L729,train
1,L730,train
1,L731,train
1,L733,train
1,L734,train
1,L735,train
1,L736,train
1,L737,train
1,L739,train
1,L740,train
1,L741,train
1,L744,train
1,L749,train
1,L750,train
1,L751,train
1,L753,train
1,L755,train
1,L760,train
1,L761,train
1,L765,train
1,L767,train
1,L768,train
1,L769,train
1,L773,train
1,L783,train
1,L785,train
1,L786,train
1,L787,train
1,L788,train
1,L789,train
1,L790,train
1,L791,train
1,L795,train
1,L801,train
1,L803,train
1,L806,train
1,L807,train
1,L810,train
1,L814,train
1,L815,train
1,L816,train
1,L817,train
1,L819,train
1,L820,train
1,L821,train
1,L824,train
1,L832,train
1,L845,train
1,L846,train
1,L848,train
1,L849,train
1,L850,train
1,L851,train
1,L852,train
1,L854,train
1,L855,train
1,L856,train
1,L857,train
1,L858,train
1,L859,train
1,L861,train
1,L863,train
1,L867,train
1,L871,train
1,L1361,train
1,L1363,train
1,L1382,train
1,L1384,train
1,L1387,train
1,L1388,train
1,L1389,train
1,L1392,train
1,L1393,train
1,L1396,train
1,L1399,train
1,L1411,train
1,L1412,train
1,L1413,train
1,L1416,train
1,L1422,train
1,L1423,train
1,L1424,train
1,L1426,train
1,L1437,train
1,L1446,train
1,L1449,train
1,L1450,train
1,L1451,train
1,L1452,train
1,L1453,train
1,L1455,train
1,L1457,train
1,L1461,train
1,L1464,train
1,L1467,train
1,L1468,train
1,L1469,train
1,L1470,train
1,L1471,train
1,L1472,train
1,L1473,train
1,L1474,train
1,L1475,train
1,L1476,train
1,L1478,train
1,L1484,train
1,L1485,train
1,L1487,train
1,L1488,train
1,L1492,train
1,L1494,train
1,L1495,train
1,L1496,train
1,L1498,train
1,L1499,train
1,L1454,train
1,L1502,train
1,L1504,train
1,L1505,train
1,L1508,train
1,L1509,train
1,L1511,train
1,L1512,train
1,L1513,train
1,L1515,train
1,L1516,train
1,L1517,train
1,L1518,train
1,L1520,train
1,L1539,train
1,L1540,train
1,L1541,train
1,L1542,train
1,L1543,train
1,L1544,train
1,L1545,train
1,L1546,train
1,L1547,train
1,L1548,train
1,L1549,train
1,L1550,train
1,L1551,train
1,L1552,train
1,L1553,train
1,L1554,train
1,L1555,train
1,L1556,train
1,L1560,train
1,L1562,train
1,L1565,train
1,L1566,train
1,L1567,train
1,L1568,train
1,L1570,train
1,L1571,train
1,L1572,train
1,L1574,train
1,L1575,train
1,L1576,train
1,L1577,train
1,L1578,train
1,L1580,train
1,L1581,train
1,L1582,train
1,L1583,train
1,L1585,train
1,L1587,train
1,L1588,train
1,L1590,train
1,L1591,train
1,L1594,train
1,L1600,train
1,L1601,train
1,L1602,train
1,L1604,train
1,L1606,train
1,L1608,train
1,L1609,train
1,L1610,train
1,L1611,train
1,L1612,train
1,L1615,train
1,L1616,train
1,L1618,train
1,L1619,train
1,L1620,train
1,L1622,train
1,L1623,train
1,L1624,train
1,L1625,train
1,L1627,train
1,L1628,train
1,L1629,train
1,L1632,train
1,L1633,train
1,L1634,train
1,L1635,train
1,L1636,train
1,L1637,train
1,L1641,train
1,L1642,train
1,L1643,train
1,L1645,train
1,L1648,train
1,L1650,train
1,L1651,train
1,L1652,train
1,L1654,train
1,L1655,train
1,L1656,train
1,L1658,train
1,L1662,train
1,L1663,train
1,L1664,train
1,L1666,train
1,L1667,train
1,L1668,train
1,L1672,train
1,L1673,train
1,L1675,train
1,L1676,train
1,L1678,train
1,L1680,train
1,L1683,train
1,L1684,train
1,L1685,train
1,L1725,train
1,L1726,train
1,L1727,train
1,L1728,train
1,L1731,train
1,L1732,train
1,L1733,train
1,L1736,train
1,L1738,train
1,L1741,train
1,L1742,train
1,L1744,train
1,L1745,train
1,L1747,train
1,L1748,train
1,L1750,train
1,L1751,train
1,L1753,train
1,L1755,train
1,L1756,train
1,L1757,train
1,L1758,train
1,L1759,train
1,L1760,train
1,L1761,train
1,L1762,train
1,L1763,train
1,L1764,train
1,L1765,train
1,L1766,train
1,L1767,train
1,L1769,train
1,L1771,train
1,L1773,train
1,L1776,train
1,L1777,train
1,L1778,train
1,L1782,train
1,L1783,train
1,L1784,train
1,L1786,train
1,L1788,train
1,L1789,train
1,L1790,train
1,L1798,train
1,L1799,train
1,L1800,train
1,L1802,train
1,L1803,train
1,L1805,train
1,L1806,train
1,L1807,train
1,L1809,train
1,L1810,train
1,L1811,train
1,L1812,train
1,L1813,train
1,L1814,train
1,L1817,train
1,L1818,train
1,L1823,train
1,L1832,train
1,L1833,train
1,L1835,train
1,L1836,train
1,L1838,train
1,L1850,train
1,L1851,train
1,L1852,train
1,L1854,train
1,L1864,train
1,L1866,train
1,L1872,train
1,L1876,train
1,L1877,train
1,L1878,train
1,L1879,train
1,L1881,train
1,L1891,train
1,L1894,train
1,L1895,train
1,L1896,train
1,L1898,train
1,L1899,train
1,L1901,train
1,L1903,train
1,L1904,train
1,L1905,train
1,L1906,train
1,L1907,train
1,L1908,train
1,L1909,train
1,L2060,train
1,L2061,train
1,L2062,train
1,L2063,train
1,L2064,train
1,L2065,train
1,L2066,train
1,L2068,train
1,L2076,train
1,L2079,train
1,L2080,train
1,L2082,train
1,L2085,train
1,L2086,train
1,L2087,train
1,L2089,train
1,L2090,train
1,L2092,train
1,L2093,train
1,L2094,train
1,L2096,train
1,L2097,train
1,L2100,train
1,L2102,train
1,L2103,train
1,L2104,train
1,L2107,train
1,L2108,train
1,L2109,train
1,L2110,train
1,L2111,train
1,L2113,train
1,L2114,train
1,L2115,train
1,L2117,train
1,L2120,train
1,L2128,train
1,L2150,train
1,L2152,train
1,L2154,train
1,L2162,train
1,L2167,train
1,L2171,train
1,L2173,train
1,L2175,train
1,L2176,train
1,L2178,train
1,L2180,train
1,L2181,train
1,L2182,train
1,L2183,train
1,L2185,train
1,L2190,train
1,L2192,train
1,L2193,train
1,L2194,train
1,L2196,train
1,L2201,train
1,L2202,train
1,L2203,train
1,L2204,train
1,L2206,train
1,L2207,train
1,L2225,train
1,L2226,train
1,L2232,train
1,L2235,train
1,L2238,train
1,L2239,train
1,L2243,train
1,L2497,train
1,L2498,train
1,L2502,train
1,L2505,train
1,L2507,train
1,L2508,train
1,L2513,train
1,L2519,train
1,L2529,train
1,L2530,train
1,L2545,train
1,L2559,train
1,L2561,train
1,L2562,train
1,L2568,train
1,L2570,train
1,L2571,train
1,L2584,train
1,L2585,train
1,L2696,train
1,L2706,train
1,L2718,train
1,L2747,train
1,L2748,train
1,L2751,train
1,L2752,train
1,L2753,train
1,L2761,train
1,L2764,train
1,L2765,train
1,L2768,train
1,L2772,train
1,L2773,train
1,L2775,train
1,L2777,train
1,L2780,train
1,L2782,train
1,L2783,train
1,L2786,train
1,L2787,train
1,L2788,train
1,L2789,train
1,L2792,train
1,L2795,train
1,L2796,train
1,L2797,train
1,L2799,train
1,L2802,train
1,L2804,train
1,L3236,train
1,L2805,train
1,L2806,train
1,L2807,train
1,L2809,train
1,L2811,train
1,L2817,train
1,L2818,train
1,L2819,train
1,L2832,train
1,L2835,train
1,L2837,train
1,L2840,train
1,L2841,train
1,L2843,train
1,L2844,train
1,L2845,train
1,L2846,train
1,L2847,train
1,L2850,train
1,L2851,train
1,L2853,train
1,L2854,train
1,L2862,train
1,L2866,train
1,L2867,train
1,L2870,train
1,L2873,train
1,L2874,train
1,L2875,train
1,L2877,train
1,L2883,train
1,L2884,train
1,L2886,train
1,L2890,train
1,L2891,train
1,L2893,train
1,L2894,train
1,L2895,train
1,L2899,train
1,L2906,train
1,L2908,train
1,L2911,train
1,L2918,train
1,L2923,train
1,L3237,train
1,L2936,train
1,L2946,train
1,L2957,train
1,L2960,train
1,L2961,train
1,L2983,train
1,L3007,train
1,L3011,train
1,L3019,train
1,L3023,train
1,L3026,train
1,L3027,train
1,L3028,train
1,L3098,train
1,L3131,train
1,L3135,train
1,L3136,train
1,L3179,train
1,L3180,train
1,L3182,train
1,L3184,train
1,L3185,train
1,L3403,train
1,L3406,train
1,L3407,train
1,L3409,train
1,L3415,train
1,L3422,train
1,L3424,train
1,L3425,train
1,L3426,train
1,L3427,train
1,L3428,train
1,L3429,train
1,L3430,train
1,L3431,train
1,L3432,train
1,L3435,train
1,L3436,train
1,L3437,train
1,L3439,train
1,L3441,train
1,L3443,train
1,L3444,train
1,L3445,train
1,L3446,train
1,L3447,train
1,L3450,train
1,L3452,train
1,L3463,train
1,L3465,train
1,L3467,train
1,L3478,train
1,L3479,train
1,L3486,train
1,L3487,train
1,L3488,train
1,L3492,train
1,L3493,train
1,L3496,train
1,L3497,train
1,L3498,train
1,L3501,train
1,L3502,train
1,L3503,train
1,L3505,train
1,L3509,train
1,L3510,train
1,L3512,train
1,L3514,train
1,L3516,train
1,L3519,train
1,L3520,train
1,L3522,train
1,L3529,train
1,L3530,train
1,L3531,train
1,L3532,train
1,L3533,train
1,L3534,train
1,L3535,train
1,L3536,train
1,L3539,train
1,L3540,train
1,L3542,train
1,L3543,train
1,L3544,train
1,L3545,train
1,L3547,train
1,L3548,train
1,L3550,train
1,L3551,train
1,L3552,train
1,L3554,train
1,L3557,train
1,L3559,train
1,L3560,train
1,L3561,train
1,L3563,train
1,L3564,train
1,L3565,train
1,L3566,train
1,L3567,train
1,L3568,train
1,L3569,train
1,L3570,train
1,L3571,train
1,L3573,train
1,L3574,train
1,L3575,train
1,L3580,train
1,L3553,train
1,L3581,train
1,L3583,train
1,L3584,train
1,L3585,train
1,L3586,train
1,L3587,train
1,L3588,train
1,L3589,train
1,L3591,train
1,L3592,train
1,L3594,train
1,L3595,train
1,L3597,train
1,L3598,train
1,L3582,train
1,L3599,train
1,L3600,train
1,L3605,train
1,L3606,train
1,L3607,train
1,L3609,train
1,L3610,train
1,L3611,train
1,L3613,train
1,L3614,train
1,L3616,train
1,L3617,train
1,L3618,train
1,L3619,train
1,L3620,train
1,L4034,train
1,L4054,train
1,L4077,train
1,L4078,train
1,L4080,train
1,L4081,train
1,L4082,train
1,L4084,train
1,L4085,train
1,L4086,train
1,L4087,train
1,L4094,train
1,L4095,train
1,L4096,train
1,L4098,train
1,L4099,train
1,L4100,train
1,L4101,train
1,L4102,train
1,L4103,train
1,L4105,train
1,L4108,train
1,L4111,train
1,L4114,train
1,L4115,train
1,L4401,train
1,L4402,train
1,L4403,train
1,L4404,train
1,L4408,train
1,L4409,train
1,L4414,train
1,L4480,train
1,L4481,train
1,L4482,train
1,L4484,train
1,L4486,train
1,L4488,train
1,L4489,train
1,L4490,train
1,L4491,train
1,L4494,train
1,L4495,train
1,L4496,train
1,L4497,train
1,L4498,train
1,L4499,train
1,L4500,train
1,L4501,train
1,L4504,train
1,L4505,train
1,L4507,train
1,L4508,train
1,L4513,train
1,L4514,train
1,L4523,train
1,L4562,train
1,L4526,train
1,L4527,train
1,L4533,train
1,L4536,train
1,L4538,train
1,L4539,train
1,L4540,train
1,L4541,train
1,L4542,train
1,L4544,train
1,L4545,train
1,L4546,train
1,L4547,train
1,L4548,train
1,L4549,train
1,L4550,train
1,L4572,train
1,L4569,train
1,L4568,train
1,L4576,train
1,L3603,train
1,L4565,train
1,L4566,train
1,L4567,train
1,L4574,train
1,L4587,train
1,L4586,train
1,L4578,train
1,L4579,train
1,L4583,train
1,L546,test
1,L548,test
1,L556,test
1,L557,test
1,L559,test
1,L563,test
1,L579,test
1,L587,test
1,L588,test
1,L591,test
1,L627,test
1,L629,test
1,L633,test
1,L45,test
1,L172,test
1,L183,test
1,L184,test
1,L199,test
1,L246,test
1,L252,test
1,L255,test
1,L256,test
1,L263,test
1,L274,test
1,L275,test
1,L283,test
1,L296,test
1,L305,test
1,L311,test
1,L318,test
1,L326,test
1,L332,test
1,L337,test
1,L347,test
1,L354,test
1,L356,test
1,L419,test
1,L434,test
1,L435,test
1,L449,test
1,L458,test
1,L459,test
1,L463,test
1,L464,test
1,L467,test
1,L492,test
1,L504,test
1,L512,test
1,L521,test
1,L523,test
1,L527,test
1,L532,test
1,L537,test
1,L541,test
1,L542,test
1,L543,test
1,L646,test
1,L677,test
1,L699,test
1,L701,test
1,L704,test
1,L709,test
1,L714,test
1,L742,test
1,L746,test
1,L747,test
1,L748,test
1,L756,test
1,L759,test
1,L762,test
1,L763,test
1,L766,test
1,L772,test
1,L775,test
1,L779,test
1,L784,test
1,L792,test
1,L793,test
1,L794,test
1,L808,test
1,L818,test
1,L823,test
1,L826,test
1,L827,test
1,L828,test
1,L834,test
1,L838,test
1,L839,test
1,L869,test
1,L1355,test
1,L1379,test
1,L1386,test
1,L1400,test
1,L1404,test
1,L1405,test
1,L1444,test
1,L1445,test
1,L1447,test
1,L1483,test
1,L1493,test
1,L1497,test
1,L1500,test
1,L1503,test
1,L1506,test
1,L1507,test
1,L1557,test
1,L1558,test
1,L1564,test
1,L1569,test
1,L1573,test
1,L1579,test
1,L1584,test
1,L1586,test
1,L1589,test
1,L1593,test
1,L1595,test
1,L1596,test
1,L1597,test
1,L1598,test
1,L1603,test
1,L1621,test
1,L1630,test
1,L1631,test
1,L1638,test
1,L1639,test
1,L1657,test
1,L1659,test
1,L1660,test
1,L1677,test
1,L1729,test
1,L1737,test
1,L1740,test
1,L1743,test
1,L1746,test
1,L1749,test
1,L1768,test
1,L1774,test
1,L1775,test
1,L1791,test
1,L1795,test
1,L1804,test
1,L1808,test
1,L1816,test
1,L1830,test
1,L1837,test
1,L1853,test
1,L1855,test
1,L1860,test
1,L1865,test
1,L1871,test
1,L1893,test
1,L2059,test
1,L2067,test
1,L2072,test
1,L2077,test
1,L2083,test
1,L2084,test
1,L2088,test
1,L2091,test
1,L2095,test
1,L2098,test
1,L2099,test
1,L2101,test
1,L2112,test
1,L2116,test
1,L2147,test
1,L2169,test
1,L2172,test
1,L2174,test
1,L2188,test
1,L2195,test
1,L2231,test
1,L2237,test
1,L2242,test
1,L2501,test
1,L2515,test
1,L2516,test
1,L2553,test
1,L2556,test
1,L2558,test
1,L2560,test
1,L2563,test
1,L2770,test
1,L2771,test
1,L2776,test
1,L2778,test
1,L2779,test
1,L2784,test
1,L2785,test
1,L2790,test
1,L2793,test
1,L2798,test
1,L2830,test
1,L2838,test
1,L2839,test
1,L2842,test
1,L2848,test
1,L2849,test
1,L2852,test
1,L2868,test
1,L2872,test
1,L2897,test
1,L2900,test
1,L2909,test
1,L2921,test
1,L2922,test
1,L2991,test
1,L3006,test
1,L3010,test
1,L3024,test
1,L3029,test
1,L3102,test
1,L3186,test
1,L3411,test
1,L3414,test
1,L3433,test
1,L3434,test
1,L3438,test
1,L3448,test
1,L3464,test
1,L3481,test
1,L3499,test
1,L3500,test
1,L3506,test
1,L3507,test
1,L3517,test
1,L3518,test
1,L3528,test
1,L3555,test
1,L3572,test
1,L3577,test
1,L3578,test
1,L3579,test
1,L3602,test
1,L3604,test
1,L3608,test
1,L4061,test
1,L4083,test
1,L4406,test
1,L4483,test
1,L4485,test
1,L4487,test
1,L4506,test
1,L4543,test
1,L4571,test
1,L4580,test
1,L4581,test
1,L4582,test
1,L4585,test
1,L4577,test
2,L546,train
2,L548,train
2,L553,train
2,L555,train
2,L556,train
2,L557,train
2,L559,train
2,L560,train
2,L562,train
2,L563,train
2,L566,train
2,L568,train
2,L569,train
2,L571,train
2,L573,train
2,L574,train
2,L575,train
2,L577,train
2,L578,train
2,L579,train
2,L580,train
2,L582,train
2,L584,train
2,L585,train
2,L586,train
2,L587,train
2,L588,train
2,L589,train
2,L590,train
2,L591,train
2,L592,train
2,L595,train
2,L596,train
2,L597,train
2,L599,train
2,L600,train
2,L601,train
2,L603,train
2,L604,train
2,L605,train
2,L607,train
2,L610,train
2,L611,train
2,L612,train
2,L613,train
2,L615,train
2,L617,train
2,L618,train
2,L622,train
2,L623,train
2,L625,train
2,L627,train
2,L628,train
2,L629,train
2,L632,train
2,L633,train
2,L634,train
2,L635,train
2,L636,train
2,L6,train
2,L8,train
2,L10,train
2,L11,train
2,L29,train
2,L45,train
2,L46,train
2,L169,train
2,L170,train
2,L171,train
2,L172,train
2,L174,train
2,L175,train
2,L176,train
2,L178,train
2,L181,train
2,L182,train
2,L183,train
2,L184,train
2,L192,train
2,L194,train
2,L195,train
2,L545,train
2,L196,train
2,L199,train
2,L203,train
2,L210,train
2,L219,train
2,L221,train
2,L222,train
2,L223,train
2,L225,train
2,L226,train
2,L242,train
2,L243,train
2,L246,train
2,L247,train
2,L249,train
2,L251,train
2,L252,train
2,L253,train
2,L255,train
2,L256,train
2,L258,train
2,L260,train
2,L262,train
2,L263,train
2,L264,train
2,L274,train
2,L275,train
2,L276,train
2,L277,train
2,L279,train
2,L280,train
2,L281,train
2,L282,train
2,L283,train
2,L287,train
2,L289,train
2,L292,train
2,L293,train
2,L294,train
2,L296,train
2,L297,train
2,L298,train
2,L299,train
2,L300,train
2,L302,train
2,L304,train
2,L305,train
2,L309,train
2,L311,train
2,L312,train
2,L313,train
2,L316,train
2,L318,train
2,L319,train
2,L320,train
2,L322,train
2,L323,train
2,L324,train
2,L326,train
2,L327,train
2,L330,train
2,L331,train
2,L332,train
2,L335,train
2,L336,train
2,L337,train
2,L338,train
2,L340,train
2,L345,train
2,L346,train
2,L347,train
2,L348,train
2,L350,train
2,L353,train
2,L354,train
2,L356,train
2,L357,train
2,L359,train
2,L361,train
2,L414,train
2,L415,train
2,L416,train
2,L417,train
2,L418,train
2,L419,train
2,L421,train
2,L423,train
2,L426,train
2,L428,train
2,L430,train
2,L431,train
2,L434,train
2,L435,train
2,L436,train
2,L437,train
2,L439,train
2,L443,train
2,L444,train
2,L445,train
2,L449,train
2,L455,train
2,L456,train
2,L458,train
2,L459,train
2,L461,train
2,L462,train
2,L463,train
2,L464,train
2,L465,train
2,L466,train
2,L467,train
2,L478,train
2,L480,train
2,L481,train
2,L482,train
2,L487,train
2,L492,train
2,L494,train
2,L498,train
2,L499,train
2,L500,train
2,L502,train
2,L504,train
2,L505,train
2,L506,train
2,L507,train
2,L509,train
2,L511,train
2,L512,train
2,L516,train
2,L517,train
2,L518,train
2,L521,train
2,L522,train
2,L523,train
2,L524,train
2,L525,train
2,L527,train
2,L528,train
2,L531,train
2,L532,train
2,L534,train
2,L537,train
2,L539,train
2,L540,train
2,L541,train
2,L542,train
2,L543,train
2,L640,train
2,L642,train
2,L643,train
2,L644,train
2,L646,train
2,L647,train
2,L648,train
2,L650,train
2,L660,train
2,L662,train
2,L665,train
2,L672,train
2,L674,train
2,L675,train
2,L677,train
2,L681,train
2,L682,train
2,L689,train
2,L690,train
2,L696,train
2,L697,train
2,L698,train
2,L699,train
2,L700,train
2,L701,train
2,L702,train
2,L703,train
2,L704,train
2,L705,train
2,L706,train
2,L707,train
2,L708,train
2,L709,train
2,L710,train
2,L711,train
2,L712,train
2,L713,train
2,L714,train
2,L718,train
2,L720,train
2,L722,train
2,L723,train
2,L724,train
2,L725,train
2,L727,train
2,L730,train
2,L731,train
2,L733,train
2,L734,train
2,L735,train
2,L736,train
2,L737,train
2,L740,train
2,L741,train
2,L742,train
2,L744,train
2,L746,train
2,L747,train
2,L748,train
2,L751,train
2,L753,train
2,L755,train
2,L756,train
2,L759,train
2,L760,train
2,L761,train
2,L762,train
2,L763,train
2,L765,train
2,L766,train
2,L767,train
2,L772,train
2,L773,train
2,L775,train
2,L779,train
2,L784,train
2,L785,train
2,L786,train
2,L787,train
2,L789,train
2,L791,train
2,L792,train
2,L793,train
2,L794,train
2,L795,train
2,L803,train
2,L806,train
2,L807,train
2,L808,train
2,L810,train
2,L814,train
2,L815,train
2,L816,train
2,L817,train
2,L818,train
2,L819,train
2,L820,train
2,L821,train
2,L823,train
2,L826,train
2,L827,train
2,L828,train
2,L834,train
2,L838,train
2,L839,train
2,L845,train
2,L846,train
2,L848,train
2,L849,train
2,L854,train
2,L855,train
2,L856,train
2,L857,train
2,L861,train
2,L867,train
2,L869,train
2,L1355,train
2,L1361,train
2,L1363,train
2,L1379,train
2,L1386,train
2,L1388,train
2,L1389,train
2,L1393,train
2,L1396,train
2,L1399,train
2,L1400,train
2,L1404,train
2,L1405,train
2,L1411,train
2,L1413,train
2,L1416,train
2,L1422,train
2,L1423,train
2,L1424,train
2,L1426,train
2,L1437,train
2,L1444,train
2,L1445,train
2,L1446,train
2,L1447,train
2,L1449,train
2,L1450,train
2,L1451,train
2,L1453,train
2,L1455,train
2,L1457,train
2,L1461,train
2,L1464,train
2,L1467,train
2,L1469,train
2,L1470,train
2,L1471,train
2,L1472,train
2,L1474,train
2,L1475,train
2,L1476,train
2,L1478,train
2,L1483,train
2,L1484,train
2,L1488,train
2,L1493,train
2,L1494,train
2,L1495,train
2,L1497,train
2,L1499,train
2,L1500,train
2,L1503,train
2,L1504,train
2,L1506,train
2,L1507,train
2,L1511,train
2,L1512,train
2,L1513,train
2,L1516,train
2,L1517,train
2,L1518,train
2,L1520,train
2,L1540,train
2,L1541,train
2,L1543,train
2,L1544,train
2,L1545,train
2,L1548,train
2,L1549,train
2,L1550,train
2,L1551,train
2,L1552,train
2,L1553,train
2,L1554,train
2,L1555,train
2,L1556,train
2,L1557,train
2,L1558,train
2,L1560,train
2,L1562,train
2,L1564,train
2,L1565,train
2,L1566,train
2,L1567,train
2,L1568,train
2,L1569,train
2,L1570,train
2,L1571,train
2,L1572,train
2,L1573,train
2,L1576,train
2,L1577,train
2,L1578,train
2,L1579,train
2,L1581,train
2,L1582,train
2,L1584,train
2,L1585,train
2,L1586,train
2,L1587,train
2,L1588,train
2,L1589,train
2,L1590,train
2,L1591,train
2,L1593,train
2,L1594,train
2,L1595,train
2,L1596,train
2,L1597,train
2,L1598,train
2,L1600,train
2,L1601,train
2,L1603,train
2,L1604,train
2,L1608,train
2,L1609,train
2,L1610,train
2,L1611,train
2,L1612,train
2,L1615,train
2,L1619,train
2,L1621,train
2,L1622,train
2,L1623,train
2,L1624,train
2,L1625,train
2,L1628,train
2,L1629,train
2,L1630,train
2,L1631,train
2,L1632,train
2,L1633,train
2,L1634,train
2,L1635,train
2,L1637,train
2,L1638,train
2,L1639,train
2,L1641,train
2,L1642,train
2,L1643,train
2,L1645,train
2,L1648,train
2,L1650,train
2,L1652,train
2,L1656,train
2,L1657,train
2,L1658,train
2,L1659,train
2,L1660,train
2,L1662,train
2,L1663,train
2,L1664,train
2,L1666,train
2,L1667,train
2,L1668,train
2,L1672,train
2,L1673,train
2,L1675,train
2,L1676,train
2,L1677,train
2,L1678,train
2,L1680,train
2,L1683,train
2,L1684,train
2,L1685,train
2,L1725,train
2,L1726,train
2,L1727,train
2,L1729,train
2,L1732,train
2,L1733,train
2,L1736,train
2,L1737,train
2,L1738,train
2,L1740,train
2,L1741,train
2,L1742,train
2,L1743,train
2,L1745,train
2,L1746,train
2,L1747,train
2,L1748,train
2,L1749,train
2,L1753,train
2,L1755,train
2,L1756,train
2,L1757,train
2,L1758,train
2,L1760,train
2,L1761,train
2,L1762,train
2,L1763,train
2,L1765,train
2,L1766,train
2,L1767,train
2,L1768,train
2,L1769,train
2,L1771,train
2,L1773,train
2,L1774,train
2,L1775,train
2,L1776,train
2,L1778,train
2,L1782,train
2,L1783,train
2,L1786,train
2,L1789,train
2,L1790,train
2,L1791,train
2,L1795,train
2,L1798,train
2,L1799,train
2,L1800,train
2,L1804,train
2,L1805,train
2,L1806,train
2,L1808,train
2,L1809,train
2,L1810,train
2,L1811,train
2,L1812,train
2,L1813,train
2,L1814,train
2,L1816,train
2,L1817,train
2,L1823,train
2,L1830,train
2,L1832,train
2,L1833,train
2,L1835,train
2,L1837,train
2,L1850,train
2,L1852,train
2,L1853,train
2,L1854,train
2,L1855,train
2,L1860,train
2,L1864,train
2,L1865,train
2,L1866,train
2,L1871,train
2,L1872,train
2,L1878,train
2,L1881,train
2,L1891,train
2,L1893,train
2,L1894,train
2,L1896,train
2,L1898,train
2,L1899,train
2,L1903,train
2,L1904,train
