L_id,task,label,window_in_subject,event_code,event_onset_sec,start_sec,stop_sec,n_samples
L105,1back,0,21,18,49.13,48.928,50.928,500
L105,1back,0,22,18,51.126,50.924,52.924,500
L105,1back,0,23,18,53.127,52.928,54.928,500
L105,1back,0,24,18,55.122,54.92,56.92,500
L105,1back,0,25,18,57.126,56.924,58.924,500
L106,1back,1,24,18,56.69,56.488,58.488,500
L107,1back,0,2,18,20.203,20.004,22.004,500
L107,1back,0,3,18,22.199,22.0,24.0,500
L107,1back,0,4,18,24.205,24.004,26.004,500
L107,1back,0,6,18,28.199,28.0,30.0,500
L107,1back,0,12,18,40.201,40.0,42.0,500
L108,1back,0,2,18,23.722,23.524,25.524,500
L108,1back,0,5,18,29.724,29.524,31.524,500
L108,1back,0,6,18,31.727,31.528,33.528,500
L108,1back,0,7,18,33.73,33.528,35.528,500
L108,1back,0,8,18,35.723,35.524,37.524,500
L108,1back,0,9,18,37.733,37.532,39.532,500
L108,1back,0,10,18,39.721,39.52,41.52,500
L108,1back,0,11,18,41.722,41.52,43.52,500
L108,1back,0,12,18,43.721,43.52,45.52,500
L108,1back,0,13,18,45.723,45.524,47.524,500
L108,1back,0,14,18,47.725,47.524,49.524,500
L108,1back,0,16,18,54.722,54.52,56.52,500
L108,1back,0,17,18,56.723,56.524,58.524,500
L109,1back,1,0,19,9.677,9.476,11.476,500
L109,1back,1,1,18,11.655,11.456,13.456,500
L109,1back,1,3,18,15.655,15.456,17.456,500
L109,1back,1,4,18,17.655,17.456,19.456,500
L109,1back,1,5,18,19.656,19.456,21.456,500
L109,1back,1,7,18,23.655,23.456,25.456,500
L109,1back,1,10,18,29.655,29.456,31.456,500
L109,1back,1,13,18,35.655,35.456,37.456,500
L109,1back,1,14,18,37.655,37.456,39.456,500
L109,1back,1,15,19,42.672,42.472,44.472,500
L109,1back,1,17,18,46.648,46.448,48.448,500
L109,1back,1,22,18,56.656,56.456,58.456,500
L11,1back,1,0,19,8.381,8.18,10.18,500
L11,1back,1,1,18,10.366,10.168,12.168,500
L11,1back,1,2,18,12.366,12.168,14.168,500
L11,1back,1,3,18,14.366,14.168,16.168,500
L11,1back,1,4,18,16.365,16.164,18.164,500
L11,1back,1,5,18,18.365,18.164,20.164,500
L11,1back,1,6,18,20.365,20.164,22.164,500
L11,1back,1,7,18,22.365,22.164,24.164,500
L11,1back,1,8,18,24.365,24.164,26.164,500
L11,1back,1,9,18,26.366,26.168,28.168,500
L11,1back,1,10,18,28.365,28.164,30.164,500
L11,1back,1,11,18,30.371,30.172,32.172,500
L11,1back,1,12,18,32.365,32.164,34.164,500
L11,1back,1,13,18,34.371,34.172,36.172,500
L11,1back,1,14,18,36.371,36.172,38.172,500
L11,1back,1,15,19,41.382,41.18,43.18,500
L11,1back,1,16,18,43.371,43.172,45.172,500
L11,1back,1,17,18,45.365,45.164,47.164,500
L11,1back,1,18,18,47.365,47.164,49.164,500
L11,1back,1,19,18,49.365,49.164,51.164,500
L11,1back,1,20,18,51.366,51.168,53.168,500
L11,1back,1,21,18,53.371,53.172,55.172,500
L11,1back,1,22,18,55.366,55.168,57.168,500
L11,1back,1,23,18,57.365,57.164,59.164,500
L110,1back,0,0,19,9.002,8.804,10.804,500
L110,1back,0,1,18,10.976,10.776,12.776,500
L110,1back,0,2,18,12.977,12.776,14.776,500
L110,1back,0,3,18,14.977,14.776,16.776,500
L110,1back,0,4,18,16.977,16.776,18.776,500
L110,1back,0,5,18,18.977,18.776,20.776,500
L110,1back,0,6,18,20.978,20.78,22.78,500
L110,1back,0,7,18,22.978,22.78,24.78,500
L110,1back,0,8,18,24.977,24.776,26.776,500
L110,1back,0,9,18,26.978,26.78,28.78,500
L110,1back,0,10,18,28.977,28.776,30.776,500
L110,1back,0,11,18,30.977,30.776,32.776,500
L110,1back,0,13,18,34.977,34.776,36.776,500
L110,1back,0,15,19,42.017,41.816,43.816,500
L110,1back,0,17,18,45.994,45.792,47.792,500
L110,1back,0,18,18,47.978,47.776,49.776,500
L110,1back,0,19,18,49.979,49.78,51.78,500
L110,1back,0,20,18,51.995,51.796,53.796,500
L110,1back,0,22,18,55.996,55.796,57.796,500
L111,1back,1,1,18,8.162,7.964,9.964,500
L111,1back,1,3,18,12.16,11.96,13.96,500
L111,1back,1,4,18,14.161,13.96,15.96,500
L111,1back,1,5,18,16.161,15.96,17.96,500
L111,1back,1,6,18,18.161,17.96,19.96,500
L111,1back,1,7,18,20.161,19.96,21.96,500
L111,1back,1,8,18,22.161,21.96,23.96,500
L111,1back,1,9,18,24.162,23.96,25.96,500
L111,1back,1,10,18,26.163,25.964,27.964,500
L111,1back,1,11,18,28.163,27.964,29.964,500
L111,1back,1,12,18,30.16,29.96,31.96,500
L111,1back,1,14,18,34.166,33.964,35.964,500
L111,1back,1,15,19,39.183,38.984,40.984,500
L111,1back,1,16,18,41.161,40.96,42.96,500
L111,1back,1,18,18,45.161,44.96,46.96,500
L111,1back,1,19,18,47.161,46.96,48.96,500
L111,1back,1,20,18,49.163,48.964,50.964,500
L111,1back,1,22,18,53.163,52.964,54.964,500
L111,1back,1,23,18,55.163,54.964,56.964,500
L111,1back,1,24,18,57.162,56.96,58.96,500
L112,1back,0,0,19,6.469,6.268,8.268,500
L112,1back,0,1,18,8.449,8.248,10.248,500
L112,1back,0,2,18,10.449,10.248,12.248,500
L112,1back,0,3,18,12.443,12.244,14.244,500
L112,1back,0,4,18,14.443,14.244,16.244,500
L112,1back,0,5,18,16.45,16.248,18.248,500
L112,1back,0,6,18,18.449,18.248,20.248,500
L112,1back,0,7,18,20.449,20.248,22.248,500
L112,1back,0,8,18,22.45,22.248,24.248,500
L112,1back,0,9,18,24.449,24.248,26.248,500
L112,1back,0,10,18,26.449,26.248,28.248,500
L112,1back,0,11,18,28.449,28.248,30.248,500
L112,1back,0,12,18,30.449,30.248,32.248,500
L112,1back,0,13,18,32.449,32.248,34.248,500
L112,1back,0,14,18,34.449,34.248,36.248,500
L112,1back,0,15,19,39.467,39.268,41.268,500
L112,1back,0,16,18,41.455,41.256,43.256,500
L112,1back,0,17,18,43.455,43.256,45.256,500
L112,1back,0,18,18,45.456,45.256,47.256,500
L113,1back,0,0,19,8.986,8.788,10.788,500
L113,1back,0,1,18,10.964,10.764,12.764,500
L113,1back,0,3,18,14.958,14.76,16.76,500
L113,1back,0,5,18,18.964,18.764,20.764,500
L113,1back,0,6,18,20.964,20.764,22.764,500
L113,1back,0,10,18,28.963,28.764,30.764,500
L113,1back,0,19,18,49.964,49.764,51.764,500
L113,1back,0,23,18,57.958,57.756,59.756,500
L114,1back,0,0,19,5.255,5.056,7.056,500
L114,1back,0,1,18,7.221,7.02,9.02,500
L114,1back,0,4,18,13.221,13.02,15.02,500
L114,1back,0,6,18,17.221,17.02,19.02,500
L114,1back,0,8,18,21.221,21.02,23.02,500
L114,1back,0,9,18,23.221,23.02,25.02,500
L114,1back,0,10,18,25.221,25.02,27.02,500
L114,1back,0,13,18,31.221,31.02,33.02,500
L114,1back,0,14,18,33.221,33.02,35.02,500
L114,1back,0,15,19,38.251,38.052,40.052,500
L114,1back,0,17,18,42.221,42.02,44.02,500
L114,1back,0,18,18,44.221,44.02,46.02,500
L114,1back,0,20,18,48.221,48.02,50.02,500
L114,1back,0,22,18,52.221,52.02,54.02,500
L114,1back,0,23,18,54.221,54.02,56.02,500
L115,1back,1,0,19,9.661,9.46,11.46,500
L115,1back,1,1,18,11.643,11.444,13.444,500
L115,1back,1,2,18,13.636,13.436,15.436,500
L115,1back,1,3,18,15.639,15.44,17.44,500
L115,1back,1,4,18,17.642,17.44,19.44,500
L115,1back,1,5,18,19.645,19.444,21.444,500
L115,1back,1,6,18,21.637,21.436,23.436,500
L115,1back,1,7,18,23.639,23.44,25.44,500
L115,1back,1,8,18,25.644,25.444,27.444,500
L115,1back,1,9,18,27.644,27.444,29.444,500
L115,1back,1,11,18,31.64,31.44,33.44,500
L115,1back,1,12,18,33.643,33.444,35.444,500
L115,1back,1,13,18,35.636,35.436,37.436,500
L115,1back,1,14,18,37.638,37.436,39.436,500
L115,1back,1,15,19,42.662,42.46,44.46,500
L115,1back,1,16,18,44.639,44.44,46.44,500
L115,1back,1,17,18,46.64,46.44,48.44,500
L115,1back,1,18,18,48.643,48.444,50.444,500
L115,1back,1,19,18,50.635,50.436,52.436,500
L115,1back,1,20,18,52.638,52.436,54.436,500
L115,1back,1,21,18,54.641,54.44,56.44,500
L115,1back,1,22,18,56.644,56.444,58.444,500
L116,1back,0,0,19,7.053,6.852,8.852,500
L116,1back,0,2,18,11.029,10.828,12.828,500
L116,1back,0,3,18,13.032,12.832,14.832,500
L116,1back,0,4,18,15.036,14.836,16.836,500
L116,1back,0,5,18,17.039,16.84,18.84,500
L116,1back,0,6,18,19.031,18.832,20.832,500
L116,1back,0,7,18,21.034,20.832,22.832,500
L116,1back,0,8,18,23.036,22.836,24.836,500
L116,1back,0,9,18,25.03,24.832,26.832,500
L116,1back,0,10,18,27.031,26.832,28.832,500
L116,1back,0,11,18,29.034,28.832,30.832,500
L116,1back,0,12,18,31.039,30.84,32.84,500
L116,1back,0,13,18,33.031,32.832,34.832,500
L116,1back,0,14,18,35.032,34.832,36.832,500
L116,1back,0,15,19,40.056,39.856,41.856,500
L116,1back,0,16,18,42.031,41.832,43.832,500
L116,1back,0,17,18,44.034,43.832,45.832,500
L116,1back,0,18,18,46.038,45.836,47.836,500
L116,1back,0,19,18,48.032,47.832,49.832,500
L116,1back,0,20,18,50.032,49.832,51.832,500
L116,1back,0,21,18,52.035,51.836,53.836,500
L116,1back,0,22,18,54.037,53.836,55.836,500
L116,1back,0,23,18,56.032,55.832,57.832,500
L117,1back,0,0,19,5.971,5.772,7.772,500
L117,1back,0,8,18,21.947,21.748,23.748,500
L117,1back,0,10,18,25.953,25.752,27.752,500
L117,1back,0,14,18,33.953,33.752,35.752,500
L117,1back,0,15,19,38.97,38.768,40.768,500
L117,1back,0,16,18,40.952,40.752,42.752,500
L117,1back,0,17,18,42.952,42.752,44.752,500
L117,1back,0,18,18,44.952,44.752,46.752,500
L117,1back,0,20,18,48.952,48.752,50.752,500
L117,1back,0,22,18,52.953,52.752,54.752,500
L118,1back,1,0,19,7.779,7.58,9.58,500
L118,1back,1,1,18,9.753,9.552,11.552,500
L118,1back,1,2,18,11.752,11.552,13.552,500
L118,1back,1,3,18,13.755,13.556,15.556,500
L118,1back,1,4,18,15.763,15.564,17.564,500
L118,1back,1,5,18,17.749,17.548,19.548,500
L118,1back,1,6,18,19.752,19.552,21.552,500
L118,1back,1,7,18,21.753,21.552,23.552,500
L118,1back,1,8,18,23.749,23.548,25.548,500
L118,1back,1,9,18,25.76,25.56,27.56,500
L118,1back,1,11,18,29.762,29.56,31.56,500
L118,1back,1,12,18,31.752,31.552,33.552,500
L118,1back,1,13,18,33.754,33.552,35.552,500
L118,1back,1,14,18,35.752,35.552,37.552,500
L118,1back,1,15,19,40.776,40.576,42.576,500
L118,1back,1,16,18,42.756,42.556,44.556,500
L118,1back,1,17,18,44.763,44.564,46.564,500
L118,1back,1,18,18,46.752,46.552,48.552,500
L118,1back,1,19,18,48.763,48.564,50.564,500
L118,1back,1,20,18,50.763,50.564,52.564,500
L118,1back,1,21,18,52.752,52.552,54.552,500
L118,1back,1,22,18,54.759,54.56,56.56,500
L119,1back,0,0,19,5.337,5.136,7.136,500
L119,1back,0,1,18,7.319,7.12,9.12,500
L119,1back,0,2,18,9.312,9.112,11.112,500
L119,1back,0,3,18,11.315,11.116,13.116,500
L119,1back,0,4,18,13.318,13.12,15.12,500
L119,1back,0,5,18,15.322,15.12,17.12,500
L119,1back,0,6,18,17.313,17.112,19.112,500
L119,1back,0,7,18,19.315,19.116,21.116,500
L119,1back,0,8,18,21.319,21.12,23.12,500
L119,1back,0,9,18,23.313,23.112,25.112,500
L119,1back,0,10,18,25.313,25.112,27.112,500
L119,1back,0,11,18,27.317,27.116,29.116,500
L119,1back,0,12,18,29.32,29.12,31.12,500
L119,1back,0,13,18,31.311,31.112,33.112,500
L119,1back,0,14,18,33.315,33.116,35.116,500
L119,1back,0,16,18,40.313,40.112,42.112,500
L119,1back,0,17,18,42.317,42.116,44.116,500
L119,1back,0,18,18,44.319,44.12,46.12,500
L119,1back,0,20,18,48.316,48.116,50.116,500
L119,1back,0,21,18,50.317,50.116,52.116,500
L119,1back,0,22,18,52.32,52.12,54.12,500
L119,1back,0,23,18,54.312,54.112,56.112,500
L119,1back,0,24,18,56.314,56.112,58.112,500
L12,1back,0,1,18,14.191,13.992,15.992,500
L12,1back,0,3,18,18.184,17.984,19.984,500
L12,1back,0,4,18,20.179,19.98,21.98,500
L12,1back,0,5,18,22.185,21.984,23.984,500
L12,1back,0,6,18,24.19,23.992,25.992,500
L12,1back,0,7,18,26.185,25.984,27.984,500
L12,1back,0,8,18,28.191,27.992,29.992,500
L12,1back,0,9,18,30.191,29.992,31.992,500
L12,1back,0,10,19,57.427,57.228,59.228,500
L12,1back,0,11,18,59.408,59.208,61.208,500
L12,1back,0,12,18,61.408,61.208,63.208,500
L12,1back,0,14,18,65.408,65.208,67.208,500
L12,1back,0,15,18,67.408,67.208,69.208,500
L12,1back,0,16,18,69.408,69.208,71.208,500
L12,1back,0,17,18,71.409,71.208,73.208,500
L12,1back,0,18,18,73.408,73.208,75.208,500
L12,1back,0,19,18,75.409,75.208,77.208,500
L120,1back,0,0,19,4.949,4.748,6.748,500
L120,1back,0,1,18,6.9,6.7,8.7,500
L120,1back,0,2,18,8.896,8.696,10.696,500
L120,1back,0,3,18,10.894,10.696,12.696,500
L120,1back,0,4,18,12.896,12.696,14.696,500
L120,1back,0,5,18,14.89,14.692,16.692,500
L120,1back,0,6,18,16.891,16.692,18.692,500
L120,1back,0,9,18,22.9,22.7,24.7,500
L120,1back,0,11,18,26.895,26.696,28.696,500
L120,1back,0,14,18,32.91,32.708,34.708,500
L120,1back,0,15,19,37.934,37.732,39.732,500
L120,1back,0,17,18,41.902,41.704,43.704,500
L120,1back,0,19,18,45.893,45.692,47.692,500
L120,1back,0,21,18,49.91,49.708,51.708,500
L120,1back,0,23,18,53.907,53.708,55.708,500
L120,1back,0,24,18,55.904,55.704,57.704,500
L120,1back,0,25,18,57.898,57.696,59.696,500
L121,1back,0,0,19,7.842,7.64,9.64,500
L121,1back,0,2,18,11.815,11.616,13.616,500
L121,1back,0,3,18,13.815,13.616,15.616,500
L121,1back,0,5,18,17.816,17.616,19.616,500
L121,1back,0,7,18,21.816,21.616,23.616,500
L121,1back,0,8,18,23.816,23.616,25.616,500
L121,1back,0,9,18,25.816,25.616,27.616,500
L121,1back,0,10,18,27.819,27.62,29.62,500
L121,1back,0,11,18,29.817,29.616,31.616,500
L121,1back,0,21,18,52.815,52.616,54.616,500
L121,1back,0,22,18,54.816,54.616,56.616,500
L121,1back,0,23,18,56.815,56.616,58.616,500
L122,1back,0,0,19,28.093,27.892,29.892,500
L122,1back,0,1,18,30.068,29.868,31.868,500
L122,1back,0,2,18,32.068,31.868,33.868,500
L122,1back,0,3,18,34.073,33.872,35.872,500
L122,1back,0,4,18,36.068,35.868,37.868,500
L122,1back,0,5,18,38.069,37.868,39.868,500
L122,1back,0,6,18,40.069,39.868,41.868,500
L122,1back,0,7,18,42.07,41.872,43.872,500
L122,1back,0,8,18,44.085,43.884,45.884,500
L122,1back,0,9,18,46.069,45.868,47.868,500
L122,1back,0,10,18,48.069,47.868,49.868,500
L122,1back,0,11,18,50.069,49.868,51.868,500
L122,1back,0,12,18,52.068,51.868,53.868,500
L122,1back,0,14,18,56.069,55.868,57.868,500
L124,1back,0,0,19,13.016,12.816,14.816,500
L124,1back,0,3,18,18.975,18.776,20.776,500
L124,1back,0,4,18,20.974,20.776,22.776,500
L124,1back,0,10,18,32.974,32.772,34.772,500
L124,1back,0,12,18,36.976,36.776,38.776,500
L124,1back,0,13,18,38.974,38.772,40.772,500
L124,1back,0,14,18,40.974,40.772,42.772,500
L124,1back,0,15,19,46.008,45.808,47.808,500
L124,1back,0,16,18,47.974,47.772,49.772,500
L124,1back,0,17,18,49.974,49.772,51.772,500
L124,1back,0,18,18,51.974,51.772,53.772,500
L124,1back,0,19,18,53.974,53.772,55.772,500
L124,1back,0,20,18,55.974,55.772,57.772,500
L124,1back,0,21,18,57.975,57.776,59.776,500
L125,1back,1,0,19,4.531,4.332,6.332,500
L125,1back,1,1,18,6.489,6.288,8.288,500
L125,1back,1,2,18,8.506,8.308,10.308,500
L125,1back,1,3,18,10.499,10.3,12.3,500
L125,1back,1,4,18,12.503,12.304,14.304,500
L125,1back,1,5,18,14.495,14.296,16.296,500
L125,1back,1,6,18,16.495,16.296,18.296,500
L125,1back,1,7,18,18.494,18.296,20.296,500
L125,1back,1,8,18,20.491,20.292,22.292,500
L125,1back,1,9,18,22.49,22.288,24.288,500
L125,1back,1,10,18,24.489,24.288,26.288,500
L125,1back,1,11,18,26.506,26.304,28.304,500
L125,1back,1,12,18,28.501,28.3,30.3,500
L125,1back,1,13,18,30.499,30.3,32.3,500
L125,1back,1,14,18,32.496,32.296,34.296,500
L125,1back,1,15,19,37.524,37.324,39.324,500
L125,1back,1,16,18,39.49,39.288,41.288,500
L125,1back,1,17,18,41.487,41.288,43.288,500
L125,1back,1,18,18,43.49,43.288,45.288,500
L125,1back,1,19,18,45.498,45.296,47.296,500
L125,1back,1,20,18,47.502,47.304,49.304,500
L125,1back,1,21,18,49.496,49.296,51.296,500
L125,1back,1,22,18,51.495,51.296,53.296,500
L126,1back,0,13,18,30.74,30.54,32.54,500
L126,1back,0,17,18,41.745,41.544,43.544,500
L126,1back,0,19,18,45.751,45.552,47.552,500
L126,1back,0,21,18,49.745,49.544,51.544,500
L127,1back,0,0,19,4.572,4.372,6.372,500
L127,1back,0,1,18,6.527,6.328,8.328,500
L127,1back,0,2,18,8.536,8.336,10.336,500
L127,1back,0,3,18,10.522,10.324,12.324,500
L127,1back,0,4,18,12.521,12.32,14.32,500
L127,1back,0,5,18,14.531,14.332,16.332,500
L127,1back,0,6,18,16.532,16.332,18.332,500
L127,1back,0,7,18,18.53,18.332,20.332,500
L127,1back,0,8,18,20.53,20.332,22.332,500
L127,1back,0,9,18,22.523,22.324,24.324,500
L127,1back,0,10,18,24.523,24.324,26.324,500
L127,1back,0,11,18,26.524,26.324,28.324,500
L127,1back,0,12,18,28.521,28.32,30.32,500
L127,1back,0,13,18,30.532,30.332,32.332,500
L127,1back,0,14,18,32.53,32.328,34.328,500
L127,1back,0,15,19,37.559,37.36,39.36,500
L127,1back,0,16,18,39.523,39.324,41.324,500
L127,1back,0,17,18,41.528,41.328,43.328,500
L127,1back,0,18,18,43.54,43.34,45.34,500
L127,1back,0,19,18,45.521,45.32,47.32,500
L127,1back,0,20,18,47.535,47.336,49.336,500
L127,1back,0,21,18,49.53,49.328,51.328,500
L127,1back,0,22,18,51.53,51.328,53.328,500
L127,1back,0,23,18,53.526,53.328,55.328,500
L127,1back,0,24,18,55.531,55.332,57.332,500
L127,1back,0,25,18,57.527,57.328,59.328,500
L128,1back,0,0,19,6.629,6.428,8.428,500
L128,1back,0,1,18,8.619,8.42,10.42,500
L128,1back,0,3,18,12.619,12.42,14.42,500
L128,1back,0,4,18,14.619,14.42,16.42,500
L128,1back,0,5,18,16.619,16.42,18.42,500
L128,1back,0,8,18,22.619,22.42,24.42,500
L128,1back,0,10,18,26.619,26.42,28.42,500
L128,1back,0,11,18,28.619,28.42,30.42,500
L128,1back,0,12,18,30.619,30.42,32.42,500
L128,1back,0,14,18,34.619,34.42,36.42,500
L128,1back,0,15,19,39.637,39.436,41.436,500
L128,1back,0,16,18,41.619,41.42,43.42,500
L128,1back,0,17,18,43.619,43.42,45.42,500
L128,1back,0,18,18,45.619,45.42,47.42,500
L128,1back,0,19,18,47.619,47.42,49.42,500
L128,1back,0,21,18,51.619,51.42,53.42,500
L128,1back,0,22,18,53.62,53.42,55.42,500
L128,1back,0,23,18,55.62,55.42,57.42,500
L128,1back,0,24,18,57.619,57.42,59.42,500
L129,1back,0,0,19,7.31,7.108,9.108,500
L129,1back,0,2,18,11.246,11.048,13.048,500
L129,1back,0,3,18,13.257,13.056,15.056,500
L129,1back,0,4,18,15.256,15.056,17.056,500
L129,1back,0,5,18,17.246,17.048,19.048,500
L129,1back,0,6,18,19.255,19.056,21.056,500
L129,1back,0,7,18,21.257,21.056,23.056,500
L129,1back,0,8,18,23.248,23.048,25.048,500
L129,1back,0,9,18,25.256,25.056,27.056,500
L129,1back,0,10,18,27.246,27.048,29.048,500
L129,1back,0,11,18,29.255,29.056,31.056,500
L129,1back,0,12,18,31.248,31.048,33.048,500
L129,1back,0,13,18,33.246,33.048,35.048,500
L129,1back,0,14,18,35.257,35.056,37.056,500
L129,1back,0,15,19,40.292,40.092,42.092,500
L129,1back,0,16,18,42.247,42.048,44.048,500
L129,1back,0,17,18,44.252,44.052,46.052,500
L129,1back,0,18,18,46.246,46.048,48.048,500
L129,1back,0,19,18,48.255,48.056,50.056,500
L129,1back,0,20,18,50.249,50.048,52.048,500
L129,1back,0,21,18,52.247,52.048,54.048,500
L129,1back,0,22,18,54.255,54.056,56.056,500
L129,1back,0,23,18,56.246,56.048,58.048,500
L130,1back,0,0,19,5.565,5.364,7.364,500
L130,1back,0,1,18,7.539,7.34,9.34,500
L130,1back,0,2,18,9.543,9.344,11.344,500
L130,1back,0,3,18,11.533,11.332,13.332,500
L130,1back,0,4,18,13.537,13.336,15.336,500
L130,1back,0,5,18,15.54,15.34,17.34,500
L130,1back,0,6,18,17.532,17.332,19.332,500
L130,1back,0,7,18,19.534,19.336,21.336,500
L130,1back,0,8,18,21.54,21.34,23.34,500
L130,1back,0,9,18,23.542,23.344,25.344,500
L130,1back,0,10,18,25.534,25.336,27.336,500
L130,1back,0,11,18,27.535,27.336,29.336,500
L130,1back,0,12,18,29.539,29.34,31.34,500
L130,1back,0,13,18,31.543,31.344,33.344,500
L130,1back,0,14,18,33.532,33.332,35.332,500
L130,1back,0,15,19,38.558,38.36,40.36,500
L130,1back,0,16,18,40.532,40.332,42.332,500
L130,1back,0,17,18,42.535,42.336,44.336,500
L130,1back,0,18,18,44.54,44.34,46.34,500
L130,1back,0,19,18,46.543,46.344,48.344,500
