L_id,task,status,reason,duration_sec,candidate_trials,rejected_trials,rejected_rate,n_trials_code_11,condition_code_11,n_trials_code_22,condition_code_22
L1767,oddball,ok,,641.0,148,7,0.0472972972972973,118,standard,23,deviant_target
L1769,oddball,ok,,638.0,149,19,0.12751677852348994,108,standard,22,deviant_target
L1775,oddball,ok,,639.0,147,0,0.0,123,standard,24,deviant_target
L1791,oddball,ok,,660.0,147,35,0.23809523809523808,91,standard,21,deviant_target
L1798,oddball,ok,,642.0,147,1,0.006802721088435374,121,standard,25,deviant_target
L1807,oddball,ok,,657.0,148,35,0.23648648648648649,94,standard,19,deviant_target
L1810,oddball,ok,,675.0,146,1,0.00684931506849315,121,standard,24,deviant_target
L1824,oddball,ok,,693.0,120,2,0.016666666666666666,98,standard,20,deviant_target
L1825,oddball,blocked,too_few_trials_code_11,637.0,150,132,0.88,18,standard,0,deviant_target
L1835,oddball,ok,,635.0,150,3,0.02,122,standard,25,deviant_target
L1842,oddball,blocked,too_few_trials_code_11,666.0,150,148,0.9866666666666667,2,standard,0,deviant_target
L1850,oddball,ok,,647.0,146,8,0.0547945205479452,114,standard,24,deviant_target
L1851,oddball,ok,,648.0,145,10,0.06896551724137931,113,standard,22,deviant_target
L1852,oddball,ok,,757.0,146,1,0.00684931506849315,122,standard,23,deviant_target
L1854,oddball,ok,,673.0,143,46,0.32167832167832167,84,standard,13,deviant_target
L1857,oddball,ok,,641.0,150,4,0.02666666666666667,121,standard,25,deviant_target
L186,oddball,ok,,665.0,129,8,0.06201550387596899,101,standard,20,deviant_target
L1865,oddball,ok,,644.0,150,0,0.0,125,standard,25,deviant_target
L1867,oddball,blocked,too_few_trials_code_11,633.0,126,126,1.0,0,standard,0,deviant_target
L1874,oddball,ok,,649.0,148,8,0.05405405405405406,115,standard,25,deviant_target
L1882,oddball,ok,,760.0,150,0,0.0,125,standard,25,deviant_target
L1893,oddball,ok,,641.0,147,21,0.14285714285714285,109,standard,17,deviant_target
L1896,oddball,ok,,649.0,142,21,0.14788732394366197,100,standard,21,deviant_target
L199,oddball,ok,,644.0,148,2,0.013513513513513514,121,standard,25,deviant_target
L200,oddball,ok,,641.0,147,0,0.0,122,standard,25,deviant_target
L220,oddball,ok,,637.0,150,2,0.013333333333333334,123,standard,25,deviant_target
L226,oddball,ok,,648.0,147,1,0.006802721088435374,122,standard,24,deviant_target
L228,oddball,ok,,642.0,148,7,0.0472972972972973,116,standard,25,deviant_target
L246,oddball,ok,,636.0,150,10,0.06666666666666667,116,standard,24,deviant_target
L2499,oddball,ok,,642.0,147,13,0.08843537414965986,110,standard,24,deviant_target
L2511,oddball,ok,,644.0,146,2,0.0136986301369863,120,standard,24,deviant_target
L2520,oddball,ok,,643.0,149,8,0.053691275167785234,116,standard,25,deviant_target
L2525,oddball,ok,,639.0,149,5,0.03355704697986577,119,standard,25,deviant_target
L253,oddball,ok,,651.0,149,35,0.2348993288590604,93,standard,21,deviant_target
L2532,oddball,ok,,645.0,147,13,0.08843537414965986,110,standard,24,deviant_target
L2541,oddball,ok,,641.0,148,4,0.02702702702702703,119,standard,25,deviant_target
L2553,oddball,ok,,643.0,141,1,0.0070921985815602835,118,standard,22,deviant_target
L2554,oddball,ok,,653.0,148,8,0.05405405405405406,118,standard,22,deviant_target
L256,oddball,ok,,647.0,140,5,0.03571428571428571,112,standard,23,deviant_target
L2568,oddball,ok,,642.0,145,5,0.034482758620689655,115,standard,25,deviant_target
L2580,oddball,ok,,640.0,148,20,0.13513513513513514,103,standard,25,deviant_target
L2586,oddball,ok,,636.0,149,1,0.006711409395973154,123,standard,25,deviant_target
L2588,oddball,ok,,659.0,143,8,0.055944055944055944,112,standard,23,deviant_target
L259,oddball,ok,,635.0,150,8,0.05333333333333334,118,standard,24,deviant_target
L2590,oddball,ok,,655.0,148,2,0.013513513513513514,122,standard,24,deviant_target
L2591,oddball,ok,,651.0,133,2,0.015037593984962405,111,standard,20,deviant_target
L2599,oddball,ok,,645.0,143,18,0.1258741258741259,108,standard,17,deviant_target
L26,oddball,ok,,646.0,148,7,0.0472972972972973,117,standard,24,deviant_target
L260,oddball,ok,,637.0,150,93,0.62,50,standard,7,deviant_target
L261,oddball,ok,,636.0,148,15,0.10135135135135136,109,standard,24,deviant_target
L2628,oddball,ok,,725.0,146,5,0.03424657534246575,117,standard,24,deviant_target
L2635,oddball,ok,,648.0,145,29,0.2,95,standard,21,deviant_target
L264,oddball,ok,,643.0,149,1,0.006711409395973154,123,standard,25,deviant_target
L2653,oddball,ok,,662.0,147,0,0.0,123,standard,24,deviant_target
L2654,oddball,ok,,688.0,148,8,0.05405405405405406,118,standard,22,deviant_target
L2666,oddball,ok,,660.0,127,6,0.047244094488188976,100,standard,21,deviant_target
L2679,oddball,ok,,641.0,147,10,0.06802721088435375,113,standard,24,deviant_target
L2687,oddball,ok,,640.0,149,110,0.738255033557047,32,standard,7,deviant_target
L2715,oddball,ok,,646.0,148,8,0.05405405405405406,118,standard,22,deviant_target
L2721,oddball,ok,,642.0,146,6,0.0410958904109589,115,standard,25,deviant_target
L2722,oddball,ok,,641.0,148,6,0.04054054054054054,117,standard,25,deviant_target
L2727,oddball,ok,,650.0,146,25,0.17123287671232876,102,standard,19,deviant_target
L273,oddball,ok,,637.0,150,0,0.0,125,standard,25,deviant_target
L2733,oddball,ok,,677.0,145,23,0.15862068965517243,102,standard,20,deviant_target
L2734,oddball,ok,,641.0,149,18,0.12080536912751678,109,standard,22,deviant_target
L2747,oddball,ok,,639.0,149,20,0.1342281879194631,110,standard,19,deviant_target
L2748,oddball,ok,,640.0,148,20,0.13513513513513514,107,standard,21,deviant_target
L2754,oddball,ok,,636.0,149,7,0.04697986577181208,120,standard,22,deviant_target
L2756,oddball,ok,,641.0,146,0,0.0,122,standard,24,deviant_target
L276,oddball,ok,,641.0,147,0,0.0,122,standard,25,deviant_target
L2760,oddball,ok,,641.0,148,14,0.0945945945945946,111,standard,23,deviant_target
L2764,oddball,ok,,640.0,148,10,0.06756756756756757,114,standard,24,deviant_target
L2779,oddball,ok,,637.0,149,2,0.013422818791946308,122,standard,25,deviant_target
L2784,oddball,ok,,647.0,144,3,0.020833333333333332,118,standard,23,deviant_target
L2787,oddball,ok,,639.0,149,3,0.020134228187919462,121,standard,25,deviant_target
L279,oddball,ok,,640.0,146,8,0.0547945205479452,113,standard,25,deviant_target
L2790,oddball,ok,,642.0,148,35,0.23648648648648649,95,standard,18,deviant_target
L2795,oddball,ok,,638.0,148,0,0.0,124,standard,24,deviant_target
L2799,oddball,ok,,637.0,148,2,0.013513513513513514,122,standard,24,deviant_target
L2812,oddball,ok,,644.0,144,0,0.0,121,standard,23,deviant_target
L282,oddball,ok,,690.0,120,32,0.26666666666666666,75,standard,13,deviant_target
L2822,oddball,ok,,637.0,149,23,0.15436241610738255,106,standard,20,deviant_target
L2846,oddball,ok,,644.0,146,1,0.00684931506849315,121,standard,24,deviant_target
L2874,oddball,ok,,641.0,147,49,0.3333333333333333,82,standard,16,deviant_target
L2878,oddball,ok,,637.0,149,6,0.040268456375838924,120,standard,23,deviant_target
L2884,oddball,ok,,639.0,149,3,0.020134228187919462,122,standard,24,deviant_target
L2886,oddball,ok,,647.0,147,1,0.006802721088435374,122,standard,24,deviant_target
L2897,oddball,ok,,642.0,148,0,0.0,123,standard,25,deviant_target
L2901,oddball,ok,,639.0,148,26,0.17567567567567569,101,standard,21,deviant_target
L2911,oddball,ok,,638.0,148,2,0.013513513513513514,121,standard,25,deviant_target
L2913,oddball,ok,,643.0,147,59,0.4013605442176871,74,standard,14,deviant_target
L292,oddball,ok,,646.0,140,16,0.11428571428571428,105,standard,19,deviant_target
L2924,oddball,ok,,653.0,143,18,0.1258741258741259,103,standard,22,deviant_target
L2932,oddball,blocked,too_few_trials_code_11,648.0,144,144,1.0,0,standard,0,deviant_target
L294,oddball,ok,,641.0,146,3,0.02054794520547945,120,standard,23,deviant_target
L297,oddball,ok,,659.0,146,0,0.0,122,standard,24,deviant_target
L2974,oddball,blocked,too_few_trials_code_11,645.0,145,133,0.9172413793103448,10,standard,2,deviant_target
L2976,oddball,ok,,645.0,144,107,0.7430555555555556,28,standard,9,deviant_target
L2978,oddball,blocked,too_few_trials_code_11,643.0,147,129,0.8775510204081632,14,standard,4,deviant_target
L2979,oddball,ok,,644.0,146,4,0.0273972602739726,120,standard,22,deviant_target
L2989,oddball,ok,,645.0,145,3,0.020689655172413793,119,standard,23,deviant_target
L299,oddball,ok,,641.0,147,1,0.006802721088435374,121,standard,25,deviant_target
L2990,oddball,ok,,647.0,148,70,0.47297297297297297,62,standard,16,deviant_target
L3004,oddball,ok,,644.0,144,7,0.04861111111111111,114,standard,23,deviant_target
L3019,oddball,ok,,641.0,147,4,0.027210884353741496,118,standard,25,deviant_target
L305,oddball,ok,,637.0,150,1,0.006666666666666667,124,standard,25,deviant_target
L3051,oddball,ok,,637.0,150,20,0.13333333333333333,108,standard,22,deviant_target
L3067,oddball,ok,,638.0,148,3,0.02027027027027027,123,standard,22,deviant_target
L3075,oddball,ok,,643.0,149,23,0.15436241610738255,105,standard,21,deviant_target
L3077,oddball,ok,,637.0,148,0,0.0,124,standard,24,deviant_target
L3095,oddball,blocked,too_few_trials_code_22,650.0,145,123,0.8482758620689655,21,standard,1,deviant_target
L31,oddball,ok,,634.0,150,29,0.19333333333333333,98,standard,23,deviant_target
L3101,oddball,ok,,637.0,150,8,0.05333333333333334,117,standard,25,deviant_target
L3105,oddball,ok,,641.0,148,63,0.42567567567567566,69,standard,16,deviant_target
L3124,oddball,ok,,639.0,149,17,0.11409395973154363,111,standard,21,deviant_target
L3145,oddball,ok,,640.0,148,16,0.10810810810810811,110,standard,22,deviant_target
L3147,oddball,ok,,642.0,145,5,0.034482758620689655,116,standard,24,deviant_target
L316,oddball,ok,,640.0,148,17,0.11486486486486487,109,standard,22,deviant_target
L3176,oddball,ok,,641.0,149,52,0.348993288590604,80,standard,17,deviant_target
L320,oddball,ok,,645.0,143,55,0.38461538461538464,73,standard,15,deviant_target
L335,oddball,ok,,635.0,150,1,0.006666666666666667,124,standard,25,deviant_target
L338,oddball,ok,,640.0,146,0,0.0,121,standard,25,deviant_target
L34,oddball,ok,,655.0,146,26,0.1780821917808219,100,standard,20,deviant_target
L3403,oddball,ok,,639.0,149,2,0.013422818791946308,123,standard,24,deviant_target
L3424,oddball,ok,,638.0,145,6,0.041379310344827586,116,standard,23,deviant_target
L3427,oddball,ok,,639.0,143,17,0.11888111888111888,109,standard,17,deviant_target
L3430,oddball,ok,,651.0,150,18,0.12,107,standard,25,deviant_target
L3437,oddball,blocked,too_few_trials_code_22,132.0,29,5,0.1724137931034483,20,standard,4,deviant_target
L3439,oddball,ok,,637.0,150,11,0.07333333333333333,117,standard,22,deviant_target
L3445,oddball,ok,,635.0,149,1,0.006711409395973154,123,standard,25,deviant_target
L3448,oddball,ok,,635.0,150,11,0.07333333333333333,115,standard,24,deviant_target
L3465,oddball,ok,,633.0,149,4,0.026845637583892617,122,standard,23,deviant_target
L350,oddball,ok,,648.0,146,10,0.0684931506849315,114,standard,22,deviant_target
L3501,oddball,ok,,640.0,147,0,0.0,123,standard,24,deviant_target
L3507,oddball,ok,,640.0,146,13,0.08904109589041095,112,standard,21,deviant_target
L3512,oddball,ok,,633.0,150,5,0.03333333333333333,120,standard,25,deviant_target
L3517,oddball,ok,,653.0,150,18,0.12,111,standard,21,deviant_target
L3543,oddball,ok,,640.0,146,7,0.04794520547945205,116,standard,23,deviant_target
L3570,oddball,ok,,639.0,148,24,0.16216216216216217,105,standard,19,deviant_target
L3575,oddball,ok,,639.0,150,1,0.006666666666666667,124,standard,25,deviant_target
L3580,oddball,ok,,632.0,150,6,0.04,119,standard,25,deviant_target
L3583,oddball,ok,,893.0,150,9,0.06,118,standard,23,deviant_target
L3589,oddball,ok,,644.0,149,0,0.0,124,standard,25,deviant_target
L3590,oddball,blocked,no_spec_codes_in_event_file,27.0,0,0,,0,standard,0,deviant_target
L3592,oddball,ok,,637.0,149,0,0.0,124,standard,25,deviant_target
L3608,oddball,ok,,619.0,150,14,0.09333333333333334,112,standard,24,deviant_target
L3623,oddball,blocked,read_error:IndexError,,0,0,,0,standard,0,deviant_target
L3624,oddball,ok,,666.0,150,76,0.5066666666666667,60,standard,14,deviant_target
L3633,oddball,ok,,633.0,150,4,0.02666666666666667,121,standard,25,deviant_target
L3637,oddball,ok,,695.0,150,21,0.14,108,standard,21,deviant_target
L3641,oddball,ok,,641.0,147,20,0.1360544217687075,110,standard,17,deviant_target
L3671,oddball,ok,,638.0,149,0,0.0,124,standard,25,deviant_target
L3674,oddball,ok,,634.0,149,0,0.0,124,standard,25,deviant_target
L3699,oddball,ok,,638.0,148,0,0.0,123,standard,25,deviant_target
L3702,oddball,ok,,633.0,150,30,0.2,101,standard,19,deviant_target
L3715,oddball,ok,,637.0,145,11,0.07586206896551724,113,standard,21,deviant_target
L3720,oddball,ok,,640.0,149,15,0.10067114093959731,112,standard,22,deviant_target
L3725,oddball,ok,,649.0,148,1,0.006756756756756757,122,standard,25,deviant_target
L3726,oddball,ok,,638.0,150,24,0.16,103,standard,23,deviant_target
L3728,oddball,ok,,648.0,147,5,0.034013605442176874,117,standard,25,deviant_target
L3740,oddball,ok,,638.0,148,0,0.0,123,standard,25,deviant_target
L3744,oddball,ok,,637.0,148,0,0.0,124,standard,24,deviant_target
L3748,oddball,ok,,646.0,144,0,0.0,119,standard,25,deviant_target
L3752,oddball,ok,,738.0,149,20,0.1342281879194631,107,standard,22,deviant_target
L3762,oddball,ok,,639.0,147,1,0.006802721088435374,122,standard,24,deviant_target
L3934,oddball,ok,,645.0,147,4,0.027210884353741496,120,standard,23,deviant_target
L3950,oddball,ok,,666.0,146,6,0.0410958904109589,116,standard,24,deviant_target
L3951,oddball,ok,,648.0,147,93,0.6326530612244898,49,standard,5,deviant_target
L3974,oddball,ok,,648.0,147,70,0.47619047619047616,62,standard,15,deviant_target
L3976,oddball,ok,,644.0,150,46,0.30666666666666664,88,standard,16,deviant_target
L3998,oddball,ok,,744.0,148,17,0.11486486486486487,108,standard,23,deviant_target
L4001,oddball,ok,,698.0,149,26,0.174496644295302,104,standard,19,deviant_target
L4008,oddball,ok,,650.0,145,5,0.034482758620689655,118,standard,22,deviant_target
L4011,oddball,ok,,646.0,148,4,0.02702702702702703,120,standard,24,deviant_target
L4012,oddball,ok,,724.0,104,38,0.36538461538461536,57,standard,9,deviant_target
L4021,oddball,ok,,634.0,150,83,0.5533333333333333,55,standard,12,deviant_target
L4029,oddball,ok,,639.0,149,1,0.006711409395973154,125,standard,23,deviant_target
L4046,oddball,ok,,664.0,147,12,0.08163265306122448,111,standard,24,deviant_target
L4047,oddball,ok,,667.0,147,5,0.034013605442176874,117,standard,25,deviant_target
L4054,oddball,ok,,641.0,150,33,0.22,98,standard,19,deviant_target
L4060,oddball,ok,,643.0,148,23,0.1554054054054054,104,standard,21,deviant_target
L4088,oddball,ok,,677.0,130,2,0.015384615384615385,107,standard,21,deviant_target
L41,oddball,ok,,638.0,148,1,0.006756756756756757,122,standard,25,deviant_target
L4103,oddball,ok,,678.0,147,19,0.1292517006802721,107,standard,21,deviant_target
L4107,oddball,ok,,638.0,150,60,0.4,75,standard,15,deviant_target
L4116,oddball,ok,,657.0,148,25,0.16891891891891891,104,standard,19,deviant_target
L4208,oddball,ok,,641.0,147,27,0.1836734693877551,102,standard,18,deviant_target
L421,oddball,ok,,629.0,147,44,0.29931972789115646,86,standard,17,deviant_target
L4210,oddball,ok,,642.0,147,45,0.30612244897959184,86,standard,16,deviant_target
L4220,oddball,ok,,638.0,149,22,0.1476510067114094,107,standard,20,deviant_target
L4224,oddball,ok,,642.0,148,2,0.013513513513513514,121,standard,25,deviant_target
L4244,oddball,ok,,642.0,145,31,0.21379310344827587,97,standard,17,deviant_target
L4257,oddball,ok,,635.0,150,22,0.14666666666666667,109,standard,19,deviant_target
L4269,oddball,ok,,645.0,147,48,0.32653061224489793,80,standard,19,deviant_target
L4270,oddball,ok,,640.0,148,10,0.06756756756756757,116,standard,22,deviant_target
L4289,oddball,ok,,652.0,145,14,0.09655172413793103,106,standard,25,deviant_target
L431,oddball,ok,,641.0,148,8,0.05405405405405406,117,standard,23,deviant_target
L4311,oddball,ok,,679.0,148,3,0.02027027027027027,122,standard,23,deviant_target
L4318,oddball,ok,,695.0,149,1,0.006711409395973154,124,standard,24,deviant_target
L4320,oddball,ok,,645.0,149,56,0.37583892617449666,78,standard,15,deviant_target
L4322,oddball,ok,,676.0,120,6,0.05,96,standard,18,deviant_target
L4324,oddball,ok,,679.0,120,2,0.016666666666666666,98,standard,20,deviant_target
L4327,oddball,ok,,639.0,148,5,0.033783783783783786,119,standard,24,deviant_target
L4336,oddball,ok,,674.0,124,6,0.04838709677419355,98,standard,20,deviant_target
L4342,oddball,ok,,630.0,133,80,0.6015037593984962,43,standard,10,deviant_target
L4348,oddball,ok,,647.0,146,0,0.0,121,standard,25,deviant_target
L4351,oddball,ok,,693.0,137,0,0.0,116,standard,21,deviant_target
L4359,oddball,ok,,657.0,148,61,0.41216216216216217,73,standard,14,deviant_target
L4362,oddball,ok,,630.0,146,15,0.10273972602739725,107,standard,24,deviant_target
L438,oddball,ok,,646.0,145,29,0.2,96,standard,20,deviant_target
L439,oddball,ok,,640.0,150,29,0.19333333333333333,98,standard,23,deviant_target
L4395,oddball,ok,,711.0,131,14,0.10687022900763359,99,standard,18,deviant_target
L4399,oddball,ok,,666.0,123,0,0.0,103,standard,20,deviant_target
L4401,oddball,ok,,639.0,148,48,0.32432432432432434,80,standard,20,deviant_target
L4402,oddball,ok,,638.0,148,1,0.006756756756756757,122,standard,25,deviant_target
L4404,oddball,ok,,641.0,147,1,0.006802721088435374,122,standard,24,deviant_target
L4409,oddball,ok,,639.0,149,17,0.11409395973154363,110,standard,22,deviant_target
L441,oddball,ok,,640.0,147,6,0.04081632653061224,119,standard,22,deviant_target
L4418,oddball,ok,,612.0,150,33,0.22,98,standard,19,deviant_target
L4432,oddball,ok,,648.0,148,17,0.11486486486486487,110,standard,21,deviant_target
L4444,oddball,ok,,636.0,150,1,0.006666666666666667,124,standard,25,deviant_target
L4452,oddball,ok,,672.0,140,0,0.0,118,standard,22,deviant_target
L4463,oddball,ok,,700.0,143,17,0.11888111888111888,105,standard,21,deviant_target
L4487,oddball,ok,,635.0,149,19,0.12751677852348994,108,standard,22,deviant_target
L4499,oddball,ok,,640.0,149,7,0.04697986577181208,120,standard,22,deviant_target
L45,oddball,ok,,654.0,148,5,0.033783783783783786,119,standard,24,deviant_target
L4517,oddball,ok,,633.0,150,67,0.44666666666666666,68,standard,15,deviant_target
L4518,oddball,ok,,652.0,142,2,0.014084507042253521,118,standard,22,deviant_target
L4519,oddball,ok,,672.0,149,9,0.06040268456375839,115,standard,25,deviant_target
L4520,oddball,ok,,639.0,148,19,0.12837837837837837,108,standard,21,deviant_target
L4527,oddball,ok,,642.0,148,8,0.05405405405405406,118,standard,22,deviant_target
L4528,oddball,ok,,639.0,149,15,0.10067114093959731,112,standard,22,deviant_target
L4532,oddball,ok,,668.0,150,14,0.09333333333333334,112,standard,24,deviant_target
L4535,oddball,ok,,817.0,150,53,0.35333333333333333,80,standard,17,deviant_target
L4536,oddball,ok,,554.0,148,13,0.08783783783783784,111,standard,24,deviant_target
L4544,oddball,ok,,643.0,145,0,0.0,120,standard,25,deviant_target
L4545,oddball,ok,,677.0,148,4,0.02702702702702703,120,standard,24,deviant_target
L4554,oddball,ok,,640.0,149,13,0.087248322147651,111,standard,25,deviant_target
L4561,oddball,ok,,642.0,145,30,0.20689655172413793,96,standard,19,deviant_target
L4566,oddball,ok,,643.0,146,17,0.11643835616438356,109,standard,20,deviant_target
L4577,oddball,ok,,623.0,145,3,0.020689655172413793,117,standard,25,deviant_target
L4578,oddball,ok,,643.0,146,23,0.15753424657534246,104,standard,19,deviant_target
L458,oddball,ok,,640.0,149,85,0.5704697986577181,46,standard,18,deviant_target
L4580,oddball,ok,,636.0,149,84,0.5637583892617449,53,standard,12,deviant_target
L4582,oddball,ok,,720.0,149,0,0.0,124,standard,25,deviant_target
L4584,oddball,ok,,642.0,147,50,0.3401360544217687,78,standard,19,deviant_target
L49,oddball,ok,,644.0,146,3,0.02054794520547945,119,standard,24,deviant_target
L5,oddball,ok,,643.0,147,7,0.047619047619047616,117,standard,23,deviant_target
L50,oddball,ok,,725.0,99,1,0.010101010101010102,84,standard,14,deviant_target
L506,oddball,ok,,641.0,148,2,0.013513513513513514,121,standard,25,deviant_target
L514,oddball,ok,,641.0,147,54,0.3673469387755102,77,standard,16,deviant_target
L518,oddball,ok,,639.0,146,10,0.0684931506849315,114,standard,22,deviant_target
L522,oddball,ok,,642.0,144,2,0.013888888888888888,119,standard,23,deviant_target
L524,oddball,ok,,675.0,150,2,0.013333333333333334,123,standard,25,deviant_target
L528,oddball,ok,,653.0,144,48,0.3333333333333333,79,standard,17,deviant_target
L545,oddball,ok,,676.0,149,5,0.03355704697986577,120,standard,24,deviant_target
L546,oddball,ok,,635.0,149,9,0.06040268456375839,117,standard,23,deviant_target
L553,oddball,ok,,637.0,150,23,0.15333333333333332,106,standard,21,deviant_target
L559,oddball,ok,,635.0,149,12,0.08053691275167785,113,standard,24,deviant_target
L569,oddball,ok,,641.0,146,68,0.4657534246575342,62,standard,16,deviant_target
L573,oddball,ok,,639.0,146,8,0.0547945205479452,114,standard,24,deviant_target
L579,oddball,ok,,634.0,148,41,0.27702702702702703,92,standard,15,deviant_target
L585,oddball,ok,,648.0,150,25,0.16666666666666666,106,standard,19,deviant_target
L588,oddball,ok,,671.0,150,0,0.0,125,standard,25,deviant_target
L597,oddball,ok,,646.0,150,1,0.006666666666666667,124,standard,25,deviant_target
L6,oddball,ok,,643.0,147,10,0.06802721088435375,115,standard,22,deviant_target
L60,oddball,ok,,651.0,149,23,0.15436241610738255,106,standard,20,deviant_target
