task,model,fold,split,L_id,label
1back,inceptiontime,1,train,L1667,0
1back,inceptiontime,1,train,L1668,1
1back,inceptiontime,1,train,L167,0
1back,inceptiontime,1,train,L1671,0
1back,inceptiontime,1,train,L1672,0
1back,inceptiontime,1,train,L1673,0
1back,inceptiontime,1,train,L1674,0
1back,inceptiontime,1,train,L1675,0
1back,inceptiontime,1,train,L1676,0
1back,inceptiontime,1,train,L1677,1
1back,inceptiontime,1,train,L1680,0
1back,inceptiontime,1,train,L1681,0
1back,inceptiontime,1,train,L1683,0
1back,inceptiontime,1,train,L1688,1
1back,inceptiontime,1,train,L1689,1
1back,inceptiontime,1,train,L169,0
1back,inceptiontime,1,train,L1695,1
1back,inceptiontime,1,train,L1697,0
1back,inceptiontime,1,train,L1698,0
1back,inceptiontime,1,train,L1699,0
1back,inceptiontime,1,train,L17,1
1back,inceptiontime,1,train,L170,0
1back,inceptiontime,1,train,L1702,0
1back,inceptiontime,1,train,L1703,1
1back,inceptiontime,1,train,L1704,1
1back,inceptiontime,1,train,L1706,0
1back,inceptiontime,1,train,L1707,0
1back,inceptiontime,1,train,L1708,1
1back,inceptiontime,1,train,L1709,1
1back,inceptiontime,1,train,L171,1
1back,inceptiontime,1,train,L1712,0
1back,inceptiontime,1,train,L1714,0
1back,inceptiontime,1,train,L1716,1
1back,inceptiontime,1,train,L1718,0
1back,inceptiontime,1,train,L172,0
1back,inceptiontime,1,train,L1722,1
1back,inceptiontime,1,train,L173,0
1back,inceptiontime,1,train,L174,0
1back,inceptiontime,1,train,L175,0
1back,inceptiontime,1,train,L176,0
1back,inceptiontime,1,train,L177,0
1back,inceptiontime,1,train,L179,0
1back,inceptiontime,1,train,L18,0
1back,inceptiontime,1,train,L180,0
1back,inceptiontime,1,train,L1816,1
1back,inceptiontime,1,train,L182,0
1back,inceptiontime,1,train,L183,0
1back,inceptiontime,1,train,L184,1
1back,inceptiontime,1,train,L186,0
1back,inceptiontime,1,train,L1891,0
1back,inceptiontime,1,train,L1892,0
1back,inceptiontime,1,train,L1894,1
1back,inceptiontime,1,train,L1896,0
1back,inceptiontime,1,train,L1899,1
1back,inceptiontime,1,train,L19,1
1back,inceptiontime,1,train,L190,0
1back,inceptiontime,1,train,L1901,1
1back,inceptiontime,1,train,L1906,0
1back,inceptiontime,1,train,L1907,0
1back,inceptiontime,1,train,L1908,0
1back,inceptiontime,1,train,L191,0
1back,inceptiontime,1,train,L1911,1
1back,inceptiontime,1,train,L194,1
1back,inceptiontime,1,train,L195,0
1back,inceptiontime,1,train,L196,1
1back,inceptiontime,1,train,L199,0
1back,inceptiontime,1,train,L200,0
1back,inceptiontime,1,train,L203,1
1back,inceptiontime,1,train,L205,1
1back,inceptiontime,1,train,L2058,0
1back,inceptiontime,1,train,L207,1
1back,inceptiontime,1,train,L209,0
1back,inceptiontime,1,train,L21,1
1back,inceptiontime,1,train,L210,1
1back,inceptiontime,1,train,L211,0
1back,inceptiontime,1,train,L213,0
1back,inceptiontime,1,train,L214,0
1back,inceptiontime,1,train,L216,0
1back,inceptiontime,1,train,L217,1
1back,inceptiontime,1,train,L218,0
1back,inceptiontime,1,train,L219,0
1back,inceptiontime,1,train,L22,1
1back,inceptiontime,1,train,L221,0
1back,inceptiontime,1,train,L222,0
1back,inceptiontime,1,train,L223,0
1back,inceptiontime,1,train,L225,0
1back,inceptiontime,1,train,L226,0
1back,inceptiontime,1,train,L227,0
1back,inceptiontime,1,train,L228,0
1back,inceptiontime,1,train,L24,0
1back,inceptiontime,1,train,L243,0
1back,inceptiontime,1,train,L246,0
1back,inceptiontime,1,train,L248,0
1back,inceptiontime,1,train,L249,0
1back,inceptiontime,1,train,L250,1
1back,inceptiontime,1,train,L251,1
1back,inceptiontime,1,train,L2510,1
1back,inceptiontime,1,train,L2517,0
1back,inceptiontime,1,train,L2521,1
1back,inceptiontime,1,train,L2524,0
1back,inceptiontime,1,train,L2525,0
1back,inceptiontime,1,train,L2527,0
1back,inceptiontime,1,train,L2528,1
1back,inceptiontime,1,train,L253,0
1back,inceptiontime,1,train,L2531,1
1back,inceptiontime,1,train,L2533,1
1back,inceptiontime,1,train,L2534,0
1back,inceptiontime,1,train,L2541,0
1back,inceptiontime,1,train,L2542,1
1back,inceptiontime,1,train,L2549,1
1back,inceptiontime,1,train,L255,0
1back,inceptiontime,1,train,L2550,1
1back,inceptiontime,1,train,L2551,0
1back,inceptiontime,1,train,L2552,1
1back,inceptiontime,1,train,L2553,1
1back,inceptiontime,1,train,L2554,1
1back,inceptiontime,1,train,L2555,0
1back,inceptiontime,1,train,L2556,0
1back,inceptiontime,1,train,L2558,0
1back,inceptiontime,1,train,L2559,0
1back,inceptiontime,1,train,L256,0
1back,inceptiontime,1,train,L2560,1
1back,inceptiontime,1,train,L2561,0
1back,inceptiontime,1,train,L2562,0
1back,inceptiontime,1,train,L2563,0
1back,inceptiontime,1,train,L2564,0
1back,inceptiontime,1,train,L2566,1
1back,inceptiontime,1,train,L2567,1
1back,inceptiontime,1,train,L2568,0
1back,inceptiontime,1,train,L2569,0
1back,inceptiontime,1,train,L2570,1
1back,inceptiontime,1,train,L2571,0
1back,inceptiontime,1,train,L2572,0
1back,inceptiontime,1,train,L2574,0
1back,inceptiontime,1,train,L2575,0
1back,inceptiontime,1,train,L2577,0
1back,inceptiontime,1,train,L2578,0
1back,inceptiontime,1,train,L2579,0
1back,inceptiontime,1,train,L258,0
1back,inceptiontime,1,train,L2580,0
1back,inceptiontime,1,train,L2581,0
1back,inceptiontime,1,train,L2587,1
1back,inceptiontime,1,train,L2588,0
1back,inceptiontime,1,train,L2589,1
1back,inceptiontime,1,train,L259,1
1back,inceptiontime,1,train,L2590,0
1back,inceptiontime,1,train,L2592,0
1back,inceptiontime,1,train,L2593,0
1back,inceptiontime,1,train,L2594,0
1back,inceptiontime,1,train,L2595,0
1back,inceptiontime,1,train,L2596,0
1back,inceptiontime,1,train,L2597,0
1back,inceptiontime,1,train,L2598,1
1back,inceptiontime,1,train,L2599,0
1back,inceptiontime,1,train,L26,1
1back,inceptiontime,1,train,L2601,0
1back,inceptiontime,1,train,L2603,1
1back,inceptiontime,1,train,L2605,0
1back,inceptiontime,1,train,L2606,0
1back,inceptiontime,1,train,L2608,1
1back,inceptiontime,1,train,L261,0
1back,inceptiontime,1,train,L2610,0
1back,inceptiontime,1,train,L2613,0
1back,inceptiontime,1,train,L2619,0
1back,inceptiontime,1,train,L262,0
1back,inceptiontime,1,train,L2622,0
1back,inceptiontime,1,train,L2623,0
1back,inceptiontime,1,train,L2628,0
1back,inceptiontime,1,train,L2629,0
1back,inceptiontime,1,train,L263,0
1back,inceptiontime,1,train,L2633,1
1back,inceptiontime,1,train,L2634,0
1back,inceptiontime,1,train,L2635,1
1back,inceptiontime,1,train,L2636,1
1back,inceptiontime,1,train,L2637,1
1back,inceptiontime,1,train,L264,0
1back,inceptiontime,1,train,L2640,0
1back,inceptiontime,1,train,L2644,0
1back,inceptiontime,1,train,L2645,1
1back,inceptiontime,1,train,L2646,1
1back,inceptiontime,1,train,L2647,0
1back,inceptiontime,1,train,L2648,0
1back,inceptiontime,1,train,L2649,0
1back,inceptiontime,1,train,L2650,0
1back,inceptiontime,1,train,L2651,0
1back,inceptiontime,1,train,L2652,0
1back,inceptiontime,1,train,L2653,0
1back,inceptiontime,1,train,L2654,1
1back,inceptiontime,1,train,L2655,1
1back,inceptiontime,1,train,L2656,0
1back,inceptiontime,1,train,L2659,0
1back,inceptiontime,1,train,L2660,1
1back,inceptiontime,1,train,L2663,0
1back,inceptiontime,1,train,L2664,0
1back,inceptiontime,1,train,L2665,0
1back,inceptiontime,1,train,L2667,0
1back,inceptiontime,1,train,L2668,0
1back,inceptiontime,1,train,L2669,0
1back,inceptiontime,1,train,L2670,0
1back,inceptiontime,1,train,L2671,0
1back,inceptiontime,1,train,L2672,0
1back,inceptiontime,1,train,L2673,1
1back,inceptiontime,1,train,L2674,0
1back,inceptiontime,1,train,L2678,1
1back,inceptiontime,1,train,L2681,1
1back,inceptiontime,1,train,L2682,1
1back,inceptiontime,1,train,L2683,0
1back,inceptiontime,1,train,L2684,1
1back,inceptiontime,1,train,L2685,0
1back,inceptiontime,1,train,L2687,0
1back,inceptiontime,1,train,L2688,0
1back,inceptiontime,1,train,L2689,0
1back,inceptiontime,1,train,L2690,0
1back,inceptiontime,1,train,L2691,0
1back,inceptiontime,1,train,L2692,0
1back,inceptiontime,1,train,L2693,0
1back,inceptiontime,1,train,L2694,0
1back,inceptiontime,1,train,L2695,0
1back,inceptiontime,1,train,L2696,1
1back,inceptiontime,1,train,L2705,0
1back,inceptiontime,1,train,L2706,0
1back,inceptiontime,1,train,L2707,0
1back,inceptiontime,1,train,L2710,1
1back,inceptiontime,1,train,L2711,0
1back,inceptiontime,1,train,L2714,0
1back,inceptiontime,1,train,L2715,0
1back,inceptiontime,1,train,L2716,0
1back,inceptiontime,1,train,L2717,0
1back,inceptiontime,1,train,L2718,0
1back,inceptiontime,1,train,L2719,0
1back,inceptiontime,1,train,L2720,0
1back,inceptiontime,1,train,L2724,0
1back,inceptiontime,1,train,L2725,0
1back,inceptiontime,1,train,L2727,0
1back,inceptiontime,1,train,L2730,0
1back,inceptiontime,1,train,L2731,0
1back,inceptiontime,1,train,L2733,0
1back,inceptiontime,1,train,L2735,1
1back,inceptiontime,1,train,L2736,1
1back,inceptiontime,1,train,L2738,1
1back,inceptiontime,1,train,L274,1
1back,inceptiontime,1,train,L2740,0
1back,inceptiontime,1,train,L2741,1
1back,inceptiontime,1,train,L2742,0
1back,inceptiontime,1,train,L2743,0
1back,inceptiontime,1,train,L2744,1
1back,inceptiontime,1,train,L2747,1
1back,inceptiontime,1,train,L2748,0
1back,inceptiontime,1,train,L2749,0
1back,inceptiontime,1,train,L275,1
1back,inceptiontime,1,train,L2750,0
1back,inceptiontime,1,train,L2752,1
1back,inceptiontime,1,train,L2753,0
1back,inceptiontime,1,train,L2756,0
1back,inceptiontime,1,train,L2757,0
1back,inceptiontime,1,train,L2758,0
1back,inceptiontime,1,train,L2759,1
1back,inceptiontime,1,train,L276,0
1back,inceptiontime,1,train,L2760,0
1back,inceptiontime,1,train,L2761,1
1back,inceptiontime,1,train,L2762,1
1back,inceptiontime,1,train,L2763,0
1back,inceptiontime,1,train,L2764,1
1back,inceptiontime,1,train,L2766,0
1back,inceptiontime,1,train,L2767,1
1back,inceptiontime,1,train,L2768,1
1back,inceptiontime,1,train,L277,0
1back,inceptiontime,1,train,L2770,0
1back,inceptiontime,1,train,L2771,0
1back,inceptiontime,1,train,L2772,0
1back,inceptiontime,1,train,L2773,0
1back,inceptiontime,1,train,L2775,0
1back,inceptiontime,1,train,L2776,1
1back,inceptiontime,1,train,L2777,0
1back,inceptiontime,1,train,L2778,0
1back,inceptiontime,1,train,L2779,0
1back,inceptiontime,1,train,L2780,0
1back,inceptiontime,1,train,L2782,0
1back,inceptiontime,1,train,L2783,0
1back,inceptiontime,1,train,L2785,0
1back,inceptiontime,1,train,L2786,0
1back,inceptiontime,1,train,L2787,0
1back,inceptiontime,1,train,L2788,0
1back,inceptiontime,1,train,L2789,0
1back,inceptiontime,1,train,L279,1
1back,inceptiontime,1,train,L2790,1
1back,inceptiontime,1,train,L2791,0
1back,inceptiontime,1,train,L2792,0
1back,inceptiontime,1,train,L2793,0
1back,inceptiontime,1,train,L2794,1
1back,inceptiontime,1,train,L2796,1
1back,inceptiontime,1,train,L2797,0
1back,inceptiontime,1,train,L2798,0
1back,inceptiontime,1,train,L28,0
1back,inceptiontime,1,train,L280,0
1back,inceptiontime,1,train,L2801,0
1back,inceptiontime,1,train,L2802,1
1back,inceptiontime,1,train,L2804,0
1back,inceptiontime,1,train,L2805,1
1back,inceptiontime,1,train,L2806,0
1back,inceptiontime,1,train,L2807,0
1back,inceptiontime,1,train,L2808,0
1back,inceptiontime,1,train,L2809,1
1back,inceptiontime,1,train,L281,1
1back,inceptiontime,1,train,L2810,0
1back,inceptiontime,1,train,L2811,0
1back,inceptiontime,1,train,L2812,0
1back,inceptiontime,1,train,L2813,0
1back,inceptiontime,1,train,L2814,0
1back,inceptiontime,1,train,L2817,0
1back,inceptiontime,1,train,L2818,0
1back,inceptiontime,1,train,L2819,0
1back,inceptiontime,1,train,L282,0
1back,inceptiontime,1,train,L2820,0
1back,inceptiontime,1,train,L2821,0
1back,inceptiontime,1,train,L2822,0
1back,inceptiontime,1,train,L2823,0
1back,inceptiontime,1,train,L2824,0
1back,inceptiontime,1,train,L2825,0
1back,inceptiontime,1,train,L2827,0
1back,inceptiontime,1,train,L283,1
1back,inceptiontime,1,train,L2830,0
1back,inceptiontime,1,train,L2835,0
1back,inceptiontime,1,train,L2836,0
1back,inceptiontime,1,train,L2837,1
1back,inceptiontime,1,train,L2838,0
1back,inceptiontime,1,train,L2839,0
1back,inceptiontime,1,train,L2840,0
1back,inceptiontime,1,train,L2841,0
1back,inceptiontime,1,train,L2842,0
1back,inceptiontime,1,train,L2843,0
1back,inceptiontime,1,train,L2845,0
1back,inceptiontime,1,train,L2847,0
1back,inceptiontime,1,train,L2848,0
1back,inceptiontime,1,train,L2850,0
1back,inceptiontime,1,train,L2852,0
1back,inceptiontime,1,train,L2853,0
1back,inceptiontime,1,train,L2854,0
1back,inceptiontime,1,train,L286,1
1back,inceptiontime,1,train,L2866,0
1back,inceptiontime,1,train,L2867,1
1back,inceptiontime,1,train,L2868,0
1back,inceptiontime,1,train,L287,1
1back,inceptiontime,1,train,L2871,0
1back,inceptiontime,1,train,L2872,0
1back,inceptiontime,1,train,L2873,0
1back,inceptiontime,1,train,L2874,0
1back,inceptiontime,1,train,L2875,0
1back,inceptiontime,1,train,L2876,0
1back,inceptiontime,1,train,L2879,0
1back,inceptiontime,1,train,L2880,0
1back,inceptiontime,1,train,L2881,0
1back,inceptiontime,1,train,L2884,0
1back,inceptiontime,1,train,L2886,0
1back,inceptiontime,1,train,L289,1
1back,inceptiontime,1,train,L2891,0
1back,inceptiontime,1,train,L2893,0
1back,inceptiontime,1,train,L2894,0
1back,inceptiontime,1,train,L2897,0
1back,inceptiontime,1,train,L2899,0
1back,inceptiontime,1,train,L29,1
1back,inceptiontime,1,train,L2900,0
1back,inceptiontime,1,train,L2901,0
1back,inceptiontime,1,train,L2902,0
1back,inceptiontime,1,train,L2903,0
1back,inceptiontime,1,train,L2904,0
1back,inceptiontime,1,train,L2905,1
1back,inceptiontime,1,train,L2906,0
1back,inceptiontime,1,train,L2908,0
1back,inceptiontime,1,train,L2909,0
1back,inceptiontime,1,train,L2911,0
1back,inceptiontime,1,train,L2913,0
1back,inceptiontime,1,train,L2914,0
1back,inceptiontime,1,train,L2915,0
1back,inceptiontime,1,train,L2916,1
1back,inceptiontime,1,train,L2917,0
1back,inceptiontime,1,train,L2918,1
1back,inceptiontime,1,train,L2919,0
1back,inceptiontime,1,train,L2920,0
1back,inceptiontime,1,train,L2921,0
1back,inceptiontime,1,train,L2922,1
1back,inceptiontime,1,train,L2924,1
1back,inceptiontime,1,train,L293,0
1back,inceptiontime,1,train,L2930,0
1back,inceptiontime,1,train,L2931,0
1back,inceptiontime,1,train,L2932,1
1back,inceptiontime,1,train,L2933,0
1back,inceptiontime,1,train,L2934,0
1back,inceptiontime,1,train,L2935,0
1back,inceptiontime,1,train,L2937,0
1back,inceptiontime,1,train,L2939,1
1back,inceptiontime,1,train,L294,0
1back,inceptiontime,1,train,L2945,0
1back,inceptiontime,1,train,L2946,0
1back,inceptiontime,1,train,L2948,0
1back,inceptiontime,1,train,L2949,0
1back,inceptiontime,1,train,L2953,0
1back,inceptiontime,1,train,L2954,0
1back,inceptiontime,1,train,L2955,0
1back,inceptiontime,1,train,L2956,0
1back,inceptiontime,1,train,L2957,0
1back,inceptiontime,1,train,L2958,1
1back,inceptiontime,1,train,L296,1
1back,inceptiontime,1,train,L2960,1
1back,inceptiontime,1,train,L2961,0
1back,inceptiontime,1,train,L2962,0
1back,inceptiontime,1,train,L2966,0
1back,inceptiontime,1,train,L2969,0
1back,inceptiontime,1,train,L297,1
1back,inceptiontime,1,train,L2971,0
1back,inceptiontime,1,train,L2973,0
1back,inceptiontime,1,train,L2974,0
1back,inceptiontime,1,train,L2975,1
1back,inceptiontime,1,train,L2976,0
1back,inceptiontime,1,train,L2977,1
1back,inceptiontime,1,train,L2979,0
1back,inceptiontime,1,train,L2980,0
1back,inceptiontime,1,train,L2983,0
1back,inceptiontime,1,train,L2984,0
1back,inceptiontime,1,train,L2985,0
1back,inceptiontime,1,train,L2986,0
1back,inceptiontime,1,train,L2987,0
1back,inceptiontime,1,train,L2989,0
1back,inceptiontime,1,train,L299,0
1back,inceptiontime,1,train,L2990,1
1back,inceptiontime,1,train,L2991,1
1back,inceptiontime,1,train,L2995,0
1back,inceptiontime,1,train,L2996,0
1back,inceptiontime,1,train,L2997,0
1back,inceptiontime,1,train,L2999,0
1back,inceptiontime,1,train,L30,1
1back,inceptiontime,1,train,L300,1
1back,inceptiontime,1,train,L3001,0
1back,inceptiontime,1,train,L3002,0
1back,inceptiontime,1,train,L3004,1
1back,inceptiontime,1,train,L3006,0
1back,inceptiontime,1,train,L3007,0
1back,inceptiontime,1,train,L3010,0
1back,inceptiontime,1,train,L3011,0
1back,inceptiontime,1,train,L302,0
1back,inceptiontime,1,train,L3021,1
1back,inceptiontime,1,train,L3022,0
1back,inceptiontime,1,train,L3023,0
1back,inceptiontime,1,train,L3024,0
1back,inceptiontime,1,train,L3026,0
1back,inceptiontime,1,train,L3029,0
1back,inceptiontime,1,train,L305,0
1back,inceptiontime,1,train,L3055,0
1back,inceptiontime,1,train,L3056,0
1back,inceptiontime,1,train,L3057,1
1back,inceptiontime,1,train,L3058,0
1back,inceptiontime,1,train,L3059,1
1back,inceptiontime,1,train,L3060,0
1back,inceptiontime,1,train,L3063,0
1back,inceptiontime,1,train,L3064,0
1back,inceptiontime,1,train,L3068,0
1back,inceptiontime,1,train,L3069,1
1back,inceptiontime,1,train,L307,0
1back,inceptiontime,1,train,L3070,0
1back,inceptiontime,1,train,L3071,0
1back,inceptiontime,1,train,L3074,1
1back,inceptiontime,1,train,L3075,0
1back,inceptiontime,1,train,L3076,0
1back,inceptiontime,1,train,L3078,0
1back,inceptiontime,1,train,L3079,0
1back,inceptiontime,1,train,L3080,1
1back,inceptiontime,1,train,L3081,1
1back,inceptiontime,1,train,L3082,0
1back,inceptiontime,1,train,L3083,0
1back,inceptiontime,1,train,L3085,0
1back,inceptiontime,1,train,L3086,0
1back,inceptiontime,1,train,L309,1
1back,inceptiontime,1,train,L3090,0
1back,inceptiontime,1,train,L3092,0
1back,inceptiontime,1,train,L3093,0
1back,inceptiontime,1,train,L3094,1
1back,inceptiontime,1,train,L3096,0
1back,inceptiontime,1,train,L3097,0
1back,inceptiontime,1,train,L3098,1
1back,inceptiontime,1,train,L3101,1
1back,inceptiontime,1,train,L3103,0
1back,inceptiontime,1,train,L3104,1
1back,inceptiontime,1,train,L3105,1
1back,inceptiontime,1,train,L3106,0
1back,inceptiontime,1,train,L3107,0
1back,inceptiontime,1,train,L3108,0
1back,inceptiontime,1,train,L3109,0
1back,inceptiontime,1,train,L311,1
1back,inceptiontime,1,train,L3110,0
1back,inceptiontime,1,train,L3111,0
1back,inceptiontime,1,train,L3114,1
1back,inceptiontime,1,train,L3115,0
1back,inceptiontime,1,train,L3116,0
1back,inceptiontime,1,train,L3117,0
1back,inceptiontime,1,train,L312,1
1back,inceptiontime,1,train,L3121,0
1back,inceptiontime,1,train,L3125,1
1back,inceptiontime,1,train,L3126,0
1back,inceptiontime,1,train,L3127,0
1back,inceptiontime,1,train,L3129,0
1back,inceptiontime,1,train,L3130,0
1back,inceptiontime,1,train,L3131,0
1back,inceptiontime,1,train,L3134,0
1back,inceptiontime,1,train,L3141,0
1back,inceptiontime,1,train,L3145,0
1back,inceptiontime,1,train,L3148,0
1back,inceptiontime,1,train,L315,1
1back,inceptiontime,1,train,L3151,0
1back,inceptiontime,1,train,L3152,0
1back,inceptiontime,1,train,L3157,1
1back,inceptiontime,1,train,L3158,0
1back,inceptiontime,1,train,L3160,0
1back,inceptiontime,1,train,L3163,0
1back,inceptiontime,1,train,L3164,0
1back,inceptiontime,1,train,L3165,0
1back,inceptiontime,1,train,L3168,1
1back,inceptiontime,1,train,L3169,0
1back,inceptiontime,1,train,L3170,0
1back,inceptiontime,1,train,L3172,1
1back,inceptiontime,1,train,L3173,0
1back,inceptiontime,1,train,L3176,0
1back,inceptiontime,1,train,L3179,0
1back,inceptiontime,1,train,L318,0
1back,inceptiontime,1,train,L3180,0
1back,inceptiontime,1,train,L3182,0
1back,inceptiontime,1,train,L3184,0
1back,inceptiontime,1,train,L3185,0
1back,inceptiontime,1,train,L3186,1
1back,inceptiontime,1,train,L3189,0
1back,inceptiontime,1,train,L3194,0
1back,inceptiontime,1,train,L3196,0
1back,inceptiontime,1,train,L3197,1
1back,inceptiontime,1,train,L3198,0
1back,inceptiontime,1,train,L32,0
1back,inceptiontime,1,train,L3201,0
1back,inceptiontime,1,train,L3202,0
1back,inceptiontime,1,train,L3203,1
1back,inceptiontime,1,train,L3205,0
1back,inceptiontime,1,train,L3206,0
1back,inceptiontime,1,train,L3207,0
1back,inceptiontime,1,train,L3208,0
1back,inceptiontime,1,train,L3209,0
1back,inceptiontime,1,train,L3210,0
1back,inceptiontime,1,train,L3211,0
1back,inceptiontime,1,train,L323,0
1back,inceptiontime,1,train,L3236,1
1back,inceptiontime,1,train,L3238,0
1back,inceptiontime,1,train,L324,0
1back,inceptiontime,1,train,L326,1
1back,inceptiontime,1,train,L327,1
1back,inceptiontime,1,train,L33,0
1back,inceptiontime,1,train,L331,1
1back,inceptiontime,1,train,L333,1
1back,inceptiontime,1,train,L336,1
1back,inceptiontime,1,train,L338,1
1back,inceptiontime,1,train,L339,1
1back,inceptiontime,1,train,L34,0
1back,inceptiontime,1,train,L340,1
1back,inceptiontime,1,train,L3403,1
1back,inceptiontime,1,train,L3406,1
1back,inceptiontime,1,train,L3407,0
1back,inceptiontime,1,train,L3409,0
1back,inceptiontime,1,train,L3411,1
1back,inceptiontime,1,train,L3414,0
1back,inceptiontime,1,train,L3415,0
1back,inceptiontime,1,train,L3422,0
1back,inceptiontime,1,train,L3424,1
1back,inceptiontime,1,train,L3425,0
1back,inceptiontime,1,train,L3426,1
1back,inceptiontime,1,train,L3427,1
1back,inceptiontime,1,train,L3429,0
1back,inceptiontime,1,train,L3430,0
1back,inceptiontime,1,train,L3431,0
1back,inceptiontime,1,train,L3432,0
1back,inceptiontime,1,train,L3433,0
1back,inceptiontime,1,train,L3434,1
1back,inceptiontime,1,train,L3435,0
1back,inceptiontime,1,train,L3436,0
1back,inceptiontime,1,train,L3437,0
1back,inceptiontime,1,train,L3438,1
1back,inceptiontime,1,train,L344,1
1back,inceptiontime,1,train,L3441,1
1back,inceptiontime,1,train,L3443,0
1back,inceptiontime,1,train,L3444,0
1back,inceptiontime,1,train,L3445,0
1back,inceptiontime,1,train,L3446,1
1back,inceptiontime,1,train,L3447,1
1back,inceptiontime,1,train,L3448,1
1back,inceptiontime,1,train,L345,0
1back,inceptiontime,1,train,L3450,0
1back,inceptiontime,1,train,L3452,1
1back,inceptiontime,1,train,L3453,1
1back,inceptiontime,1,train,L346,1
1back,inceptiontime,1,train,L3463,0
1back,inceptiontime,1,train,L3465,0
1back,inceptiontime,1,train,L3479,1
1back,inceptiontime,1,train,L348,0
1back,inceptiontime,1,train,L3486,1
1back,inceptiontime,1,train,L3487,1
1back,inceptiontime,1,train,L3488,0
1back,inceptiontime,1,train,L349,0
1back,inceptiontime,1,train,L3492,1
1back,inceptiontime,1,train,L3493,1
1back,inceptiontime,1,train,L3497,1
1back,inceptiontime,1,train,L3498,0
1back,inceptiontime,1,train,L3499,0
1back,inceptiontime,1,train,L350,0
1back,inceptiontime,1,train,L3500,0
1back,inceptiontime,1,train,L3502,0
1back,inceptiontime,1,train,L3505,1
1back,inceptiontime,1,train,L3506,0
1back,inceptiontime,1,train,L3507,0
1back,inceptiontime,1,train,L3509,0
1back,inceptiontime,1,train,L3512,0
